sentence_id	text	translation	lemma	translation_token	translation_lemma
d000.s010	The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .	یورپی یونین نے جمعہ کے روز بھی مذاکرات کو فروغ دیا اور وعدہ کیا کہ اگلے تین سالوں کے دوران غریب ممالک کو آب و ہوا کی تبدیلی کے اثرات سے نمٹنے کے لیے سالانہ 3.6 بلین ڈالر فراہم کیے جائیں گے۔ سیلاب اور خشک سالی سے نمٹنے سے لے کر جنگلات کی کٹائی سے بچنے تک۔	the european union gave the talks a boost as well on friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .	یورپی یونین نے جمعہ کے روز بھی مذاکرات کو فروغ دیا اور وعدہ کیا کہ اگلے تین سالوں کے دوران غریب ممالک کو آب و ہوا کی تبدیلی کے اثرات سے نمٹنے کے لیے سالانہ 3.6 بلین ڈالر فراہم کیے جائیں گے ۔ سیلاب اور خشک سالی سے نمٹنے سے لے کر جنگلات کی کٹائی سے بچنے تک ۔	یورپی یونین نے جمعہ کا روز بھی مذاکرہ کو فروغ دےنا اور وعدہ کرنا کہ اگلا تین سال کا دوران غریب مُلک کو آب و ہوا کا تبدیلی کا اثر سے نمٹنا کا لیے سالانہ 3.6 بلین ڈالر فراہم کرنا جانا گانا ۔ سیلاب اور خشک سالی سے نمٹنا سے لےنا کرنا جنگل کا کٹائی سے بچنا تک ۔
d000.s011	Still , Friday featured the same sort of verbal fireworks that have dominated the talks for the past week .	پھر بھی ، جمعہ کو اسی طرح کی زبانی آتش بازی پیش کی گئی تھی جو گزشتہ ہفتے کی تقریروں پر غالب رہی ہے .	still , friday featured the same sort of verbal fireworks that have dominated the talks for the past week .	پھر بھی ، جمعہ کو اسی طرح کی زبانی آتش بازی پیش کی گئی تھی جو گزشتہ ہفتے کی تقریروں پر غالب رہی ہے .	پھر بھی ، جمعہ کو یہ طرح کا زبانی آتش بازی پیش کرنا جانا تھا جو گزشتہ ہفتہ کا تقریر پر غالب رہنا ہے .
d000.s012	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .	امریکی خصوصی آب و ہوا کے نمائندے ٹوڈ اسٹرن نے اس زبان کو مسترد کیا جس میں صنعتی ممالک کے لئے گرین ہاؤس گیسوں کے اخراجات میں پابند کمی کی ضرورت ہوتی ہے اگر وہ ترقی یافتہ دنیا کی طرف سے مالی اعانت نہیں ملتی ہے تو بڑے ابھرتی ہوئی معیشتوں کے رضاکارانہ اخراجات کے مقابلے میں .	u.s. special climate envoy todd stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .	امریکی خصوصی آب و ہوا کے نمائندے ٹوڈ اسٹرن نے اس زبان کو مسترد کیا جس میں صنعتی ممالک کے لئے گرین ہاؤس گیسوں کے اخراجات میں پابند کمی کی ضرورت ہوتی ہے اگر وہ ترقی یافتہ دنیا کی طرف سے مالی اعانت نہیں ملتی ہے تو بڑے ابھرتی ہوئی معیشتوں کے رضاکارانہ اخراجات کے مقابلے میں .	امریکی خصوصی آب و ہوا کا نمائندہ ٹوڈ اسٹرن نے یہ زبان کو مسترد کرنا جو میں صنعتی مُلک کا لئے گرین ہاؤس گیسوں کا خرچ میں پابند کمی کا ضرورت ہونا ہے اگر وہ ترقی یافتہ دنیا کا طرف سے مالی اعانت نہیں ملنا ہے تو بڑا ابھرنا ہونا معیشت کا رضاکارانہ خرچ کا مقابلہ میں .
d000.s013	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago .	اس اقدام سے پتہ چلتا ہے کہ اوباما انتظامیہ نے دو سال پہلے بش انتظامیہ کے عہدیداروں کے مقابلے میں چین کے ساتھ سخت رویہ اختیار کیا ہے۔	the move signaled that the obama administration is taking a harder line with china than bush administration officials did just two years ago .	اس اقدام سے پتہ چلتا ہے کہ اوباما انتظامیہ نے دو سال پہلے بش انتظامیہ کے عہدیداروں کے مقابلے میں چین کے ساتھ سخت رویہ اختیار کیا ہے ۔	یہ اقدام سے پتہ چلنا ہے کہ اوباما انتظامیہ نے دو سال پہلا بش انتظامیہ کا عہدیدار کا مقابلہ میں چین کا ساتھ سخت رویہ اختیار کرنا ہے ۔
d000.s014	The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .	سٹرن نے کہا کہ امریکہ بغیر ترقی پذیر ممالک کے آگے بڑھنے اور اقدامات کرنے کے بغیر کوئی معاہدہ نہیں کرے گا ، انہوں نے یہ بھی شکایت کی کہ متن اس بات کو یقینی بنانے کے لئے کافی نہیں تھا کہ بیرونی مبصرین کی طرف سے کٹوتیوں کی تصدیق کی جا سکے .	the united states is not going to do a deal without the major developing countries stepping up and taking action , said stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .	سٹرن نے کہا کہ امریکہ بغیر ترقی پذیر ممالک کے آگے بڑھنے اور اقدامات کرنے کے بغیر کوئی معاہدہ نہیں کرے گا ، انہوں نے یہ بھی شکایت کی کہ متن اس بات کو یقینی بنانے کے لئے کافی نہیں تھا کہ بیرونی مبصرین کی طرف سے کٹوتیوں کی تصدیق کی جا سکے .	سٹرن نے کہہنا کہ امریکہ بغیر ترقی پذیر مُلک کا آگے بڑھنا اور اقدام کرنا کا بغیر کوئی معاہدہ نہیں کرنا گانا ، وہ نے یہ بھی شکایت کرنا کہ متن یہ بات کو یقینی بنانا کا لئے کافی نہیں تھا کہ بیرونی مبصر کا طرف سے کٹوتی کا تصدیق کرنا جانا سکنا .
d000.s015	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the United States would not help China financially to cope with global warming .	اسٹرن نے اپنے تبصرے چین کے نائب وزیر خارجہ ہی یافی کے ایک گھنٹے بعد کیے۔ انہوں نے کہا کہ امریکہ کے اعلیٰ آب و ہوا کے مذاکرات کار یا تو صحت مند ذہنیت کی کمی کرتے ہیں یا اس ہفتے کے شروع میں یہ کہتے ہوئے انتہائی غیر ذمہ دارانہ ہیں کہ امریکہ عالمی حرارت سے نمٹنے کے لیے چین کی مالی مدد نہیں کرے گا۔	stern made his comments an hour after chinese vice foreign minister he yafei said america 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the united states would not help china financially to cope with global warming .	اسٹرن نے اپنے تبصرے چین کے نائب وزیر خارجہ ہی یافی کے ایک گھنٹے بعد کیے ۔ انہوں نے کہا کہ امریکہ کے اعلیٰ آب و ہوا کے مذاکرات کار یا تو صحت مند ذہنیت کی کمی کرتے ہیں یا اس ہفتے کے شروع میں یہ کہتے ہوئے انتہائی غیر ذمہ دارانہ ہیں کہ امریکہ عالمی حرارت سے نمٹنے کے لیے چین کی مالی مدد نہیں کرے گا ۔	اسٹرن نے اپنا تبصرا چین کا نائب وزیر خارجہ ہی یافی کا ایک گھنٹہ بعد کرنا ۔ وہ نے کہہنا کہ امریکہ کا اعلیٰ آب و ہوا کا مذاکرہ کار یا تو صحت مند ذہنیت کا کمی کرنا ہے یا یہ ہفتہ کا شروع میں یہ کہہنا ہونا انتہائی غیر ذمہ دارانہ ہے کہ امریکہ عالمی حرارت سے نمٹنا کا لیے چین کا مالی مدد نہیں کرنا گانا ۔
d000.s016	With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .	دنیا کی بڑی طاقتوں کی مستقبل کی اقتصادی راہداری کے ساتھ ، ترقی پذیر دنیا کے اندر اور صنعتی دنیا اور ابھرتی ہوئی معیشتوں کے درمیان فریکٹ لائنز پھٹ گئی ہیں .	with the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .	دنیا کی بڑی طاقتوں کی مستقبل کی اقتصادی راہداری کے ساتھ ، ترقی پذیر دنیا کے اندر اور صنعتی دنیا اور ابھرتی ہوئی معیشتوں کے درمیان فریکٹ لائنز پھٹ گئی ہیں .	دنیا کا بڑی طاقت کا مستقبل کا اقتصادی راہداری کا ساتھ ، ترقی پذیر دنیا کا اندر اور صنعتی دنیا اور ابھرنا ہونا معیشت کا درمیان فریکٹ لائنز پھٹنا جانا ہے .
d000.s017	The current battle is as much about saving individual economies as saving the planet , with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .	موجودہ جدوجہد انفرادی معیشتوں کو بچانے کے ساتھ ہی سیارے کو بچانے کے بارے میں ہے ، چین اور ریاستہائے متحدہ امریکہ کے ساتھ ان کے متعلقہ ذمہ داریوں پر جھگڑا کرتے ہوئے جبکہ غریب ممالک اصرار کرتے ہیں کہ دنیا کے دو درجن سب سے زیادہ بااثر ممالک سائنسی ضرورت کو نظر انداز کر رہے ہیں زیادہ جرات مندانہ کارروائی کرنے کے لئے .	the current battle is as much about saving individual economies as saving the planet , with china and united states feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .	موجودہ جدوجہد انفرادی معیشتوں کو بچانے کے ساتھ ہی سیارے کو بچانے کے بارے میں ہے ، چین اور ریاستہائے متحدہ امریکہ کے ساتھ ان کے متعلقہ ذمہ داریوں پر جھگڑا کرتے ہوئے جبکہ غریب ممالک اصرار کرتے ہیں کہ دنیا کے دو درجن سب سے زیادہ بااثر ممالک سائنسی ضرورت کو نظر انداز کر رہے ہیں زیادہ جرات مندانہ کارروائی کرنے کے لئے .	موجودہ جدوجہد انفرادی معیشت کو بچانا کا ساتھ ہی سیارے کو بچانا کا بارہ میں ہے ، چین اور ریاستہائے متحدہ امریکہ کا ساتھ یہ کا متعلقہ ذمہ داری پر جھگڑا کرنا ہونا جبکہ غریب مُلک اصرار کرنا ہے کہ دنیا کا دو درجن سب سے زیادہ بااثر مُلک سائنسی ضرورت کو نظر انداز کرنا رہنا ہے زیادہ جرات مندانہ کارروائی کرنا کا لئے .
d000.s018	Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .	ریکارڈو یو لیٹ ، کوسٹا ریکا کے ایک نمائندے نے کہا کہ یہ کوئی تعجب کی بات نہیں ہے کہ بڑی طاقتیں اس بات پر لڑ رہی ہیں کہ گرین ہاؤس گیسوں کو روکنے کے اخراجات کون برداشت کرے گا ، یہاں تک کہ جب کمزور ممالک بڑے اخراج کرنے والوں کو ان کے اقدامات کے لئے جوابدہ رکھنے کی کوشش میں زیادہ جارحانہ ہو گئے ہیں۔	ricardo ulate , a costa rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .	ریکارڈو یو لیٹ ، کوسٹا ریکا کے ایک نمائندے نے کہا کہ یہ کوئی تعجب کی بات نہیں ہے کہ بڑی طاقتیں اس بات پر لڑ رہی ہیں کہ گرین ہاؤس گیسوں کو روکنے کے اخراجات کون برداشت کرے گا ، یہاں تک کہ جب کمزور ممالک بڑے اخراج کرنے والوں کو ان کے اقدامات کے لئے جوابدہ رکھنے کی کوشش میں زیادہ جارحانہ ہو گئے ہیں ۔	ریکارڈو یو لیٹ ، کوسٹا ریکا کا ایک نمائندہ نے کہہنا کہ یہ کوئی تعجب کا بات نہیں ہے کہ بڑی طاقت یہ بات پر لڑنا رہنا ہے کہ گرین ہاؤس گیسوں کو روکنا کا خرچ کون برداشت کرنا گانا ، یہاں تک کہ جب کمزور مُلک بڑا اخراج کرنا والا کو یہ کا اقدام کا لئے جواب رکھنا کا کوشش میں زیادہ جارحانہ ہونا جانا ہے ۔
d000.s019	This is clearly a game where a new economic hegemony is being developed , said Ulate , who also serves as the regional Mexico and Central America climate change adviser for Conservation International .	یہ واضح طور پر ایک ایسا کھیل ہے جہاں ایک نئی معاشی تسلط تیار کی جارہی ہے ، یو لیٹ نے کہا ، جو کنزرویشن انٹرنیشنل کے لئے میکسیکو اور وسطی امریکہ کے علاقائی موسمیاتی تبدیلی کے مشیر کے طور پر بھی کام کرتا ہے .	this is clearly a game where a new economic hegemony is being developed , said ulate , who also serves as the regional mexico and central america climate change adviser for conservation international .	یہ واضح طور پر ایک ایسا کھیل ہے جہاں ایک نئی معاشی تسلط تیار کی جارہی ہے ، یو لیٹ نے کہا ، جو کنزرویشن انٹرنیشنل کے لئے میکسیکو اور وسطی امریکہ کے علاقائی موسمیاتی تبدیلی کے مشیر کے طور پر بھی کام کرتا ہے .	یہ واضح طور پر ایک ایسا کھیل ہے جہاں ایک نئی معاشی تسلط تیار کرنا جارہنا ہے ، یو لیٹ نے کہہنا ، جو کنزرویشن انٹرنیشنل کا لئے میکسیکو اور وسطی امریکہ کا علاقائی موسمیاتی تبدیلی کا مشیر کا طور پر بھی کام کرنا ہے .
d000.s020	Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .	موسمیاتی تبدیلیوں کے اثرات سے سب سے زیادہ متاثرہ ممالک میں سے کچھ نے بتایا کہ وہ کوپن ہیگن میں قانونی طور پر پابند معاہدے کے لئے آگے بڑھنے کی کوشش کریں گے ، اگرچہ زیادہ تر اہم شرکاء کا کہنا ہے کہ مذاکرات بہترین صورت میں ایک سیاسی معاہدے کا باعث بنیں گے۔	some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in copenhagen , although most of the major participants say the talks will produce a political deal at best .	موسمیاتی تبدیلیوں کے اثرات سے سب سے زیادہ متاثرہ ممالک میں سے کچھ نے بتایا کہ وہ کوپن ہیگن میں قانونی طور پر پابند معاہدے کے لئے آگے بڑھنے کی کوشش کریں گے ، اگرچہ زیادہ تر اہم شرکاء کا کہنا ہے کہ مذاکرات بہترین صورت میں ایک سیاسی معاہدے کا باعث بنیں گے ۔	موسمیاتی تبدیلی کا اثر سے سب سے زیادہ متاثرہ مُلک میں سے کچھ نے بتانا کہ وہ کوپن ہیگن میں قانونی طور پر پابند معاہدہ کا لئے آگے بڑھنا کا کوشش کرنا گانا ، اگرچہ زیادہ تر اہم شرکاء کا کہہنا ہے کہ مذاکرہ بہترین صورت میں ایک سیاسی معاہدہ کا باعث بننا گانا ۔
d000.s021	The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .	الائنس آف لٹل آئی لینڈ اسٹیٹس ، جس میں 43 ارکان ہیں ، نے جمعہ کی صبح کے اوائل میں 24 صفحات پر مشتمل معاہدے کی تجویز پیش کی۔	the alliance of small island states , which has 43 members , produced a 24-page draft treaty proposal early friday morning .	الائنس آف لٹل آئی لینڈ اسٹیٹس ، جس میں 43 ارکان ہیں ، نے جمعہ کی صبح کے اوائل میں 24 صفحات پر مشتمل معاہدے کی تجویز پیش کی ۔	الائنس آف لٹل آئی لینڈ اسٹیٹس ، جو میں 43 رکن ہے ، نے جمعہ کا صبح کا اول میں 24 صفحہ پر مشتمل معاہدہ کا تجویز پیش کرنا ۔
d000.s022	Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .	یورپی کمیشن کی جانب سے موسمیاتی تبدیلی کے بارے میں بین الاقوامی مذاکرات کی سربراہی کرنے والے آرٹر رونگ میٹزر نے کہا کہ چھوٹے جزیرے کے ممالک کی طرف سے کیے جانے والے اقدامات نے پورے سیاسی عمل پر سیاسی دباؤ ڈال دیا ہے ، جزوی طور پر اس وجہ سے کہ وہ اب متحد ہیں اور چین اور بھارت جیسی ابھرتی ہوئی معیشتوں سے کارروائی کا مطالبہ کرتے ہیں۔	artur runge-metzger , who heads international climate negotiations on behalf of the european commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as china and india .	یورپی کمیشن کی جانب سے موسمیاتی تبدیلی کے بارے میں بین الاقوامی مذاکرات کی سربراہی کرنے والے آرٹر رونگ میٹزر نے کہا کہ چھوٹے جزیرے کے ممالک کی طرف سے کیے جانے والے اقدامات نے پورے سیاسی عمل پر سیاسی دباؤ ڈال دیا ہے ، جزوی طور پر اس وجہ سے کہ وہ اب متحد ہیں اور چین اور بھارت جیسی ابھرتی ہوئی معیشتوں سے کارروائی کا مطالبہ کرتے ہیں ۔	یورپی کمیشن کا جانب سے موسمیاتی تبدیلی کا بارہ میں بین الاقوامی مذاکرہ کا سربراہی کرنا والا آرٹر رونگ میٹزر نے کہہنا کہ چھوٹا جزیرہ کا مُلک کا طرف سے کرنا جانا والا اقدام نے پورا سیاسی عمل پر سیاسی دباؤ ڈالنا دےنا ہے ، جزوی طور پر یہ وجہ سے کہ وہ اب متحد ہے اور چین اور بھارت جیسی ابھرنا ہونا معیشت سے کارروائی کا مطالبہ کرنا ہے ۔
