bn:00000086n	روز
bn:00026622n	کرنا
bn:00026838n	مذاکرہ
bn:00027022n	فرق
bn:00027206n	کھانا
bn:00027207n	کھانا
bn:00027363n	ہدایت
bn:00027415n	نقصان
bn:00027530n	دریافت
bn:00027862n	تنوع
bn:00028015n	دستاویز
bn:00028249n	دروازہ
bn:00028548n	مسودہ
bn:00029239n	داری
bn:00029345n	میل
bn:00029416n	تنخواہ
bn:00029424n	دنیا
bn:00029424n	زمین
bn:00029667n	ماہر
bn:00029670n	اقتصادی
bn:00029678n	معیشت
bn:00029680n	قدر
bn:00029806n	علم
bn:00030015n	اخراج
bn:00030616n	روزگار
bn:00030627n	استعمال
bn:00030707n	حملہ
bn:00030719n	اختتام
bn:00030719n	ختم
bn:00030720n	آخر
bn:00030720n	اختتام
bn:00030747n	خطرہ
bn:00030825n	توانائی
bn:00030844n	شرکت
bn:00030861n	انگلینڈ
bn:00031074n	ماحول
bn:00031083n	نمائندہ
bn:00031641n	ادارہ
bn:00031888n	یورو
bn:00031896n	یورپ
bn:00032099n	مثال
bn:00032300n	خرچ
bn:00032306n	تجربہ
bn:00032308n	تجربہ
bn:00032654n	حقیقت
bn:00032892n	خاندان
bn:00033638n	می
bn:00033729n	طرح
bn:00033729n	طریقہ
bn:00033750n	چال
bn:00033854n	خدشہ
bn:00033960n	روح
bn:00033960n	لہجہ
bn:00034004n	رکن
bn:00034265n	فیلڈ
bn:00034265n	کھیت
bn:00034394n	تعداد
bn:00034394n	عدد
bn:00034394n	نمبر
bn:00034394n	کا
bn:00034394n	کو
bn:00034520n	نتیجہ
bn:00034551n	نتیجہ
bn:00034552n	فیصلہ
bn:00034792n	پہلا
bn:00035190n	لچک
bn:00035851n	صبح
bn:00035907n	شکل
bn:00035911n	شکل
bn:00036202n	فرانس
bn:00036346n	نجی
bn:00036512n	جمعہ
bn:00036823n	کردار
bn:00036838n	کارکردگی
bn:00036839n	فنڈ
bn:00037181n	کھیل
bn:00037187n	کھیل
bn:00037296n	ہنگامہ
bn:00037691n	سخاوت
bn:00040387n	دیو
bn:00040681n	سے
bn:00040681n	کا
bn:00041200n	وزیر
bn:00041585n	طاقت
bn:00041853n	تربیت
bn:00041942n	کرنا
bn:00042090n	مہمان
bn:00042093n	مہمان
bn:00042601n	نصف
bn:00042663n	ہال
bn:00042759n	ہاتھ
bn:00042938n	سخت
bn:00043267n	سوال
bn:00043267n	کرنا
bn:00043361n	صحت
bn:00044024n	بلند
bn:00044064n	سامنے
bn:00044269n	تاریخ
bn:00044488n	گھر
bn:00044531n	واپس
bn:00044967n	ہوٹل
bn:00044982n	گھنٹہ
bn:00044994n	گھر
bn:00045163n	انسانی
bn:00045243n	تلاش
bn:00045800n	خیال
bn:00046019n	والا
bn:00046021n	مکانی
bn:00046065n	اثر
bn:00046077n	داری
bn:00046294n	تحریک
bn:00046356n	اضافہ
bn:00046473n	اشارہ
bn:00046516n	فرد
bn:00046575n	صنعت
bn:00046920n	جائزہ
bn:00046926n	حوصلہ
bn:00046933n	عدم
bn:00046952n	ٹیوٹ
bn:00047017n	سالمیت
bn:00047043n	شدت
bn:00047077n	دلچسپ
bn:00047203n	نمائندہ
bn:00047356n	محقق
bn:00047358n	کاری
bn:00047367n	سرمایہ
bn:00047367n	کار
bn:00047688n	اشاعت
bn:00047688n	مسئلہ
bn:00047690n	معاملہ
bn:00047691n	ہونا
bn:00048242n	مسئلہ
bn:00048459n	میڈیا
bn:00048461n	صحافی
bn:00048488n	جج
bn:00048507n	چارہ
bn:00048655n	قانون
bn:00048657n	جیوری
bn:00049915n	زبان
bn:00050249n	قانون
bn:00050275n	والا
bn:00050340n	قیادت
bn:00050340n	کو
bn:00050371n	رہنما
bn:00050375n	قیادت
bn:00050920n	قرض
bn:00051035n	کرنا
bn:00051048n	زندگی
bn:00051054n	زندگی
bn:00051067n	زندگی
bn:00051117n	روشنی
bn:00051250n	حد
bn:00051251n	پابندی
bn:00051693n	قرض
bn:00052050n	نقصان
bn:00052052n	نقصان
bn:00053531n	بیوی
bn:00054277n	رکن
bn:00054523n	پیغام
bn:00054906n	مہاجر
bn:00054907n	نقل
bn:00055180n	وزارت
bn:00055292n	بدحالی
bn:00055504n	معمول
bn:00055644n	رقم
bn:00055949n	رہن
bn:00056029n	چلنا
bn:00057368n	نیٹ
bn:00057546n	خبر
bn:00057552n	کانفرنس
bn:00057562n	صحافی
bn:00058593n	اکتوبر
bn:00058679n	پیش
bn:00058679n	پیشکش
bn:00058969n	اپنا
bn:00059168n	رائے
bn:00059436n	قانون
bn:00059480n	تنظیم
bn:00059674n	کا
bn:00059783n	خاکہ
bn:00060464n	کاغذ
bn:00060767n	خطہ
bn:00060799n	کھلاڑی
bn:00060907n	جذبہ
bn:00060928n	ماضی
bn:00061054n	مشق
bn:00061325n	سزا
bn:00061606n	دور
bn:00061746n	کرنا
bn:00061826n	درخواست
bn:00061898n	مرحلہ
bn:00062275n	تصویر
bn:00062309n	کام
bn:00062929n	کھیل
bn:00063237n	نظر
bn:00063592n	مقبولیت
bn:00063739n	امکان
bn:00064077n	اصول
bn:00064119n	غالب
bn:00064192n	قانون
bn:00064192n	قواعد
bn:00064204n	حاضری
bn:00064233n	صدر
bn:00064234n	صدر
bn:00064262n	دباؤ
bn:00064527n	کرنا
bn:00064536n	عمل
bn:00064699n	وعدہ
bn:00064763n	قربت
bn:00064776n	تجویز
bn:00064914n	ریاست
bn:00066419n	حقیقت
bn:00066490n	آمدنی
bn:00066516n	رکاوٹ
bn:00066577n	ریکارڈ
bn:00066863n	واپسی
bn:00066884n	خطہ
bn:00066933n	قانون
bn:00066996n	دار
bn:00067181n	رپورٹ
bn:00067192n	نمائندگی
bn:00067280n	تحقیق
bn:00067807n	حق
bn:00067810n	دائیں
bn:00067923n	کرنا
bn:00068696n	ہفتہ
bn:00068915n	فروخت
bn:00069122n	سزا
bn:00069122n	کرنا
bn:00069579n	عملی
bn:00070104n	دوسرا
bn:00070651n	خدمت
bn:00070696n	کرنا
bn:00070725n	آبادی
bn:00071432n	جانب
bn:00071432n	طرف
bn:00071432n	کا
bn:00071869n	صورتحال
bn:00072539n	معاشرتی
bn:00072566n	معاشرہ
bn:00072653n	علاقہ
bn:00073526n	ترجمان
bn:00073989n	آغاز
bn:00073989n	شروع
bn:00074010n	ریاست
bn:00074759n	ساخت
bn:00074790n	مطالعہ
bn:00074900n	موضوع
bn:00075025n	کامیابی
bn:00075069n	پریشانی
bn:00075151n	موسم
bn:00075331n	حمایت
bn:00075359n	کورٹ
bn:00075455n	معطلی
bn:00075959n	صلاحیت
bn:00075965n	تقریر
bn:00075965n	کرنا
bn:00076309n	ورک
bn:00076429n	شو
bn:00076496n	رجحان
bn:00076588n	مدت
bn:00076677n	گواہی
bn:00076732n	متن
bn:00076744n	جمعرات
bn:00076918n	چیز
bn:00076925n	بات
bn:00077267n	وقت
bn:00077463n	آج
bn:00078198n	مقدمہ
bn:00078365n	فتح
bn:00078546n	منگل
bn:00078738n	برس
bn:00078738n	سال
bn:00078798n	اقسام
bn:00078798n	قسم
bn:00078848n	امریکی
bn:00078848n	متحدہ
bn:00078848n	کہ
bn:00078931n	متحدہ
bn:00079043n	بے
bn:00079045n	روزگاری
bn:00079940n	شکار
bn:00080036n	تشدد
bn:00080111n	دورہ
bn:00080439n	جنگ
bn:00080687n	لہر
bn:00080816n	ہفتہ
bn:00081224n	خواہش
bn:00081568n	کام
bn:00081593n	کارکن
bn:00081604n	گروپ
bn:00081622n	دنیا
