bound	بستہ
account	کاغذ
account	کیفیت
account	گنتی
account-book	طومار
account_current	جمع خرچ
account_of_battles	کارنامہ
account_of_collections	توضیع
accountableness	باز پرس
accountableness	عقد
accountant	اکاونٹنٹ
accountant	اہل مد
accountant	کاغذی
accountant_general	اکاونٹنٹ جنرل
accounted_an_enemy	مبغض
accountre	سجنا
accounts	حساب
accounts	سیاق
accounts_of_the_revenues	جمع بندی
accoutrement	پوشاک
accoutrement	پوشش
accoutrements	کیل کانٹے
accredited	سند یافتہ
accumulate	پاٹنا
accumulated	فراہم
accumulation	اجتماع
accumulation	انبار
accumulation	بھرتی
accumulation	جیٹھ
accuracy	درستی
accuracy	دقت
accuracy	پرکرتنا
accurate	درست
accurate	سیدھ
accurate	شدھ
accurate	پرکرت
accurate_adjustment_of_song	ایک تال
accurately	قرار واقعی
accursed	بدبخت
accusation	اپباد
accusation	اپواد
accusation	دامن گیری
accusation	دعوی
accusation	دوش
accusation	شکایت
accusation	گلہ
accusative_case	حالت مفعولی
ace	ایکا
ace	پو
ace.	نادری
ache	بتھا
ache	درد
ache	دکھ
ache	کسک
achive	سبک خیز
acid	تیزاب
acidity	کھٹا پن
acknowledgement	قبول
acknowledging	تسلیم
acknowledging_the_truth	تصدیق
aconitum.	اتیس
acorn	بلوط
acquaintance	آشنائی
acquaintance	ادا
acquaintance	جان کاری
acquaintance	شناسائی
acquaintance	صاحب سلامت
acquaintance	صحبت داری
acquaintance	پہچان
acquainted	آگاہ
acquainted	جان کار
acquainted_with	شناس
acquiescent	راضی
acquire	اٹھانا
acquire	سیکھنا
acquire	پانا
acquired_without_labour	رائگاں
acquirement	کسب
acquiring	اپارجن
acquiring	تحصیل
acquiring	کمائی
acquiring_fullness	ابھار
acquisition	اپارجن
acquisition	تحصیل
acquisition	حصول
acquisition	دسترس
acquisition	وصول
acquisition	کسب
acquittal	ابرا
acquitted	مبرا
acrid	تلخ
acrid	تیز
acrid	حاد
acrid	رسوت
acrid	چرپرا
acrimonious	تلخ
acrimony	تلخی
acrimony	تندی
acrimony	حدت
across	آر پار
across	بینڈا
act	حرکت
act	درجہ
act	ذمیت
act	ساختہ پرداختہ
act	کام
act_of_aiming	تاک جھانک
act_of_appearing	اتھان
act_of_assembling	اجماع
act_of_bearing	برداری
act_of_breaking	شکستگی
act_of_casting	ڈھلائی
act_of_collecting	اجتماع
act_of_concealing	استتار
act_of_cooking	پچن
act_of_endearment	سہاگ
act_of_establishing	بحالی
act_of_moving_round	حج
act_of_opening	کھول
act_of_plundering	غارت گری
act_of_praising	حامدیت
act_of_praying	تسبیح
act_of_returning	رجعت
act_of_seizing	قرق
act_of_setting_jewels	جڑاوٹ
act_of_sowing	بوائی
act_of_speaking	گویائی
act_of_stroking	پچکاری
act_of_sweeping	جاروب کشی
act_of_swimming	پیراکی
act_of_tumbling	بازی گری
act_of_vomiting	ابکائی
act_of_weighing	تلوائی
acting	سوانگ
acting	نقل
acting	چرتر
acting	چرن
acting_ill_or_improperly	ابنیت
acting_of_self	خود سر
acting_ostentatiously	ریا
acting_upon	کاربند
action	حرکت
action	پریتن
action	کاج
action	کام
action	کرتوت
action	کرم
action_at_law	دعوی
active	تر دست
active	جرہ
active	رواں
active	فاعلی
active	چالاک
active	کارگر
active	کٹیلا
active_effort.	پریتن
active_person	جلد باز
activity	تر دستی
activity	تندی
activity	جلد بازی
activity	پریتن
activity	پیش قدمی
activity	چالاکی
activity	گرمی
actor	ایکٹر
actor	نقال
actress.	ناٹکا
acts	چرتر
acts_of_devotion	طاعات
acumen	ذکا
acumen	ذھن
acute	تیز
acute	حاد
acute	ذہین
acute	رساں
acute	زیرک
acute-angled	حادالزاویہ
acute_accent	ادات
acute_angle	زاویہء حادہ
acute_suffering	سولی
acuteness	حدت
acuteness	ذکاوت
acuteness	ذھن
acuteness	ذہانت
acuteness_of_pain	کشٹ
adage	مثل
adage	مقالہ
adage	مقولہ
adage	کہاوت
adam’s_apple	کنٹھ
adaptation	سنگم
adapted	لائق
added	ملحق
addicted	چسپیدہ
addicted_to_drinking	قلاش
addicted_to_farting	پدنا
addicted_to_intoxicating	عملی
addicted_to_pleasure	اہل ذوق
addicted_to_pleasure	رنگیلا
addicted_to_pleasure	عیاش
addicted_to_pleasure	عیاشی
addicted_to_tyranny	ظلمی
addiction	سیوا
addition	ازدیاد
addition	اضافت
addition	بڑھوتری
addition	زیادتی
addition	سنگ
addition	ضمیمہ
addition	گنتی
additional	افزود
additional	اڈیشنل
additional	زائد
additional	زیادہ
additional_allowance	بھتا
addled	گندہ
address	اوضاع
address	جگت
address	حکمت
address	خطاب
address	سخن سازی
address	عقل مندی
address	پتا
address_or_speech	آدمی
ade_of_sandal_wood	صندلی
adept	استاد
adequacy	کفایت
adequate	سماں
adequate_means	کفایت
adequete	تلیہ
adhered	چسپیدہ
adherence	سنجوگ
adherent	رفیق
adhering	علق
adhering_to_ones_word	سخن پرور
adhesion	اتصال
adhesion	چسپیدگی
adhesion	چپک
adhesive	چپچپا
adhesiveness	بلک
adhesiveness	چپک
adieu	سلام
adieu	وداع
adj-collecting	جامع
adjacent	عنقریب
adjacent	قریب
adjoining	عنقریب
adjoining	متوسل
adjoining	ملحق
adjournment	وقفہ
adjunct	اضافت
adjunction	عطف
adjust	بنانا
adjust	سجنا
adjuster	ناظم
adjusting	تہذیب
adjustment	اصلاح
adjustment	انفصال
adjustment	تصفیہ
adjustment	درستی
adjustment	ٹھاٹ
adjustment.	انقطاع
adjustment_of_accoutns	نکاس
adjutant	اجیٹن
administering_of_justice	داد رسی
administrating_remedies	پرانسا
administration	بندوبست
administration	سیاست
administration_or_management	انصرام
administration_paper	کھیوٹ
administrator	ناظم
adminstrator	نظام
admirable	بچتر
admirable	عجیب
admiral.	امیر البحر
admiration	تعجب
admiring	گرویدہ
admissible	روا
admissible	محتمل
admissibleness	احتمال
admission	بار
admission	دخل
admission	دخول
admission	مداخلت
admission	پرویش
admittance	بار
admitted	دخیل
admitting	محتمل
admonisher	اپدیشک
admonition	اپدیش
admonition	تذکیر
admonition	نصیحت
ado	دبدبہ
ado	دھوم
ado	مانمت
adolescence	بالا پن
adolescence	بالیدگی
adolescence	بلوغت
adopted	دخیل
adopted	متبنی
adopted_sister	بھنیلی
adopted_son	پالک
adopted_son	پسپوت
adoption_of_a_child	گود
adoration	بندگی
adoration	جپ تپ
adoration	سجدہ
adoration	سیوا
adoration	پرستش
adoration	پوجا
adoration	کورنش
adorer	عابد
adorer	پرست
adoring	سجاد
adoring	ٹھاٹ
adoring	پرست
adorn	بنانا
adorn	سجانا
adorn	سجنا
adorn	سنوارنا
adorned	آراستہ
adorned	دھواں دار
adorned	ستھرا
adorned	ستھری
adorned	پرسدھ
adorned	پیراستہ
adorned_(with_jewels	مرصع
adorned_with_jewels	آراستہ و پیراستہ
adorning	تہذیب
adorning	زیبائش
adorning	سج دھج
adorning	سجاوٹ
adorning	طرازی
adorning_or_decorating_self	خود آرا
adroit	تر دست
adroit	کارساز
adroitness	تر دستی
adroitness	عقل مندی
adsence	فرقت
adulation	سماجت
adulterated	قلب
adulterated	ناراست
adulteration	آمیزش
adulteration	شائبہ
adulterer	چام چور
adulteress	مردباز
adultery	حرام
adultery	حرکت
adultery	زنا
adultery	زناکاری
adv_for_years	سالہا سال
advance	تقدمہ
advance	پرگمن
advance	پیش قدمی
advanced	پیش
advanced_in_years	جرت
advanced_in_years.	عمر رسیدہ
advancement	بڑھائے
advancement	بڑھوتری
advancement	ترقی
advancing	پیش قدمی
advantage	استفادہ
advantage	بس
advantage	بھوگ
advantage	ثمر
advantage	حصول
advantage	سود
advantage	سودمندی
advantage	فائدہ
advantage	مزید
advantage	نفع
advantage	کفایت
advantage.	انتفاع
advantageous	سود مند
advantageous	فائدہ مند
advantageous	مفید
advent	آگم
adventitious	عارضی
adventure	حادثہ
adventure	صدمہ
adventures	چرتر
adverb	ظرف
adverb_of_time	ظرف مکان
adversary	خصم
adversary	پرپنتھک
adversary	پرپنتھی
adversative_particle.	حرف استدراک
adverse	خلاف
adverse	مخالف
adverse	ناسازگار
adverse	ناموافق
adverse_comments	برائی
adverse_fortune	گردش
adversity	بپت
adversity	روز سیاہ
adversity	سختی
adversity	صدمہ
adversity	فلاکت
adversity	مصیبت
adversity	وقت
adversity	گردش
advertisement	اشتہار
advice	اپدیش
advice	تدبیر
advice	نار
advice	نصیحت
advisable	قرین مصلحت
advise	فکر
advise	چتانا
advisor	اپدیشک
adze	تیشہ
aerial	ایریل
aeroplane	طیارہ
aesthetic	صاحب ذوق
affability	انسانیت
affability	حسن اخلاق
affability	خلق
affability	خوش خلقی
affability	شیریں
affable	خلیق
affable	خوش
affable	صاحب اخلاق
affable	لطیف
affair	اتفاق
affair	بابت
affair	بات
affair	حال
affair	خطب
affair	سخن
affair	کاج
affair_or_occurrence	بکھیڑا
affairs	مراتب
affairs	کاروبار
affairs	کام کاج
affectation	بہانہ
affectation	ریا
affectation	نخرا
affectation	نمائش
affectation	نمود
affectations	نازنخرہ
affected	آورد
affected	دکھی
affected	دکھیارا
affected	زدہ
affected_gait	لٹک
affected_motion_in_blandishment	لٹک
affecting	جان کاہ
affecting	دل سوز
affecting	رنجک
affecting	سوزاں
affection	ابھلاشا
affection	ابھلاکھا
affection	اتفاق
affection	اخلاص
affection	بناوٹ
affection	جی
affection	درد
affection	دوستی
affection	رقت
affection	سنگ
affection	سوز
affection	سہاگ
affection	شفقت
affection	شوق
affection	عاطفت
affection	عطف
affection	مامتا
affection	محبت
affection	مراغبت
affection	پرنے
affection	پروا
affection	پریت
affection	پریم
affection	پیار
affection	چاہ
affection	چسپیدگی
affection	ہوا
affection.	خلوص
affection.	علق
affection_of_a_husband	سہاگ
affectionate	اخلاص مند
affectionate	شفیق
affectionate	پریمی
affectionate_person	پریمی
affectionately	دوستانہ
afferret	نیولا
affianced	مخطوب
affiar	آپس کا معاملہ
afficted_one	دکھیارا
affidavit	زبان بندی
affinity	ارتباط
affinity	سبب
affinity	علاقہ
affinity	قرابت
affinity	نسبت
affirm	فرمانا
affix_of_declension	ببھکتی
afflication	ستم گری
afflict	رلانا
afflicted	آزاری
afflicted	آزردہ
afflicted	افسردہ خاطر
afflicted	تباہی زدہ
afflicted	حزین
afflicted	خستہ حال
afflicted	درد مند
afflicted	درد کا مارا
afflicted	دل بستہ
afflicted	دکھی
afflicted	دکھیارا
afflicted	رمیدہ
afflicted	رنجیدہ
afflicted	زحمتی
afflicted	زدہ
afflicted	سوگوار
afflicted	شکستہ دل
afflicted	غم آلود
afflicted	غم خوار
afflicted	غم زدہ
afflicted	ماتم زدہ
afflicted	متالم
afflicted	محنت کش
afflicted.	غم دیدہ
afflicted.	غم رسیدہ
afflicted_at_heart	گرفتہ دل
afflicted_one	درد کا مارا
afflicted_one	دکھی
afflicted_with_elephantiasis	مجذوم
afflicted_with_leprosy	کوڑھی
afflicting	جان کاہ
afflicting	فگار
afflicting	پر ملال
affliction	آزار
affliction	ابتلا
affliction	الم
affliction	حادثہ
affliction	درد
affliction	دکھ
affliction	رنج
affliction	رنجیدگی
affliction	ستم
affliction	سوگ
affliction	سوگواری
affliction	ضرر
affliction	طپش
affliction	غم خوارگی
affliction	غم زدگی
affliction	فگاری
affliction	مصیبت
affliction	پرتاب
affliction	کدورت
affliction	کرب
affliction	کسر
affliction	کسرہ
affliction	کشٹ
affluence	ثروت
affluence	جمعیت
affluence	نعمت
afflux	اجتماع
affording_shelter_or_protection	سایہ دار
affray	مار دھاڑ
affray	مار پٹائی
affray	مار کٹائی
affront	اپمان
affront	اہانت
affront	ذلت
affront	زلت
affronted	فرنٹ
afghan_race	افاعنہ
aforesaid.	مرقوم
afraid	ترس ناک
afraid	خوفناک
afridi	آفریدی
after	در پے
after	عن
after	پشچم
after-birth	آنول
after-birth	جیلی
after_that	بازاں
after_the_death	پیچھے
after_the_manner	بطور
afternoon	ظہر
afternoon	عصر
afterwards	بازاں
afterwards	تب
afterwards	پھر
again	دو بارہ
again	دوبالا
again	نیز
again	پھر
against	بر
against	بر خلاف
against	خلاف
against_the_inclination	ناچار
against_the_law	خلاف قانون
against_the_tide.	اجان
against_the_will	علی الرغم
agallochum	پرکر
agate	تختی
age	آیو
age	جون
age	جگ
age	دوران
age	روزگار
age	زمان
age	عالم
age	عصر
age	عمر
age	قدامت
age	چرن
age.	دن
age_of_puberty	سن بلوغت
age_of_the_world	جگ
age_or_period	سن
age_period_of_life	سن
aged	بزرگ
aged	بوڑھا
aged	سال خوردہ
aged	قدیمی
aged	گھاگ
agency	آڑھت
agency	وکالت
agenda	اجنڈا
agenda	ایجنڈا
agent	استعداد
agent	اہل کار
agent	عامل
agent	مختار
agent.	اجنٹ
aggrandizement	بڑھائے
aggrandizement	عظمت
aggravation	تشدد
aggreable	دل نشین
aggregate	جمل
aggregate	مجموع
aggregate	مجموعہ
aggregate_number	مجموعی نمبر
aggregate_of_four	چوا
aggregate_of_four	چوکڑی
aggregate_of_parganas.	دستور
aggregate_value	مجموعی رقم
aggression	حملہ
aggression	سبقت
aggression	پیش قدمی
aggressor	مرتکب
aghast	بھوچک
aghast	دم بخود
agility	جلد بازی
agility	چالاکی
agitate	جھولنا
agitated	طپیدہ
agitation	اضطراب
agitation	اضطرار
agitation	ایجی ٹیشن
agitation	بتھا
agitation	بکھیڑا
agitation	بھڑک
agitation	تحریک
agitation	تذبذب
agitation	حرکت
agitation	دھن
agitation	طپش
agitation	چٹپٹاہٹ
agitation	کھل بلی
agitation	گھبراہٹ
agitator	ایجی ٹیٹر
agni	پاوک
agonies_of_death	نزع
agonizing	الم ناک
agony	بتھا
agony	سولی
agony	سیاست
agony	کشٹ
agra	اکبر آباد
agrceable	خوش
agreeable	احسن
agreeable	سندر
agreeable	شایاں
agreeable	طرفہ
agreeable	طیب
agreeable	لطیف
agreeable	مرتضی
agreeable	مرغوب
agreeable	نازنیں
agreeable	گوارا
agreeably	باعتبار
agreed	راضی
agreed_to	قراری
agreed_to	پسندیدہ
agreed_upon	مقرر
agreeing	متفق
agreeing_in_opinion	متفق الرائے
agreeing_together	اجتماع
agreement	آشتی
agreement	اتفاق
agreement	اجماع
agreement	بانک
agreement	بیونت
agreement	جگت
agreement	سنجوگ
agreement	صلح
agreement	عقد
agreement	عہد
agreement	عہدہ
agreement	قول
agreements	مراسم
agriculture	جوت
agriculture	جوت بوت
agriculture	زراعت
agriculturist	کاشت کار
aground	اٹکا
ague	تپ لرزہ
ah!	آہ
aid	استعانت
aid	تقویت
aid	خبر گیری
aid	دسترس
aid	رکن
aid	سہائے
aid	عنایت
aid	غیات
aid	پرکر
aid__de_camp	ایڈی کانگ
aiders	اعوان
aids	اعوان
aigrette	کلغی
ailing	روگی
ailment	دکھ
ailment	علالت
ailment	مرض
ailment	ناتوانائی
ailment.	ناتوانی
aim	ارادہ
aim	بات
aim	تاک جھانک
aim	دھیمی
aim	شست
aim	عزم
aim	قصد
aim	نشانہ
aim	نیت
aim	گھات
aim_upon)	باندھنا
aiming	نیت
air	آکاش
air	بائی
air	باد
air	بتاس
air	ترانہ
air	دھج
air	ریح
air	سر
air	لٹک
air	نوا
air	پشکر
air	پومان
air	کھن
air	گگن
air)	بنانا
airing	سیر
airs	دماغ
airs_and_graces	نازنخرہ
airs_and_graces_affectations	ناز نخرا
akin	سماں
akin	قریب
al_bugo	گل
alacrity	بشاشت
alarm	افراتفری
alarm	الارم
alarm	بھڑک
alarm	ترس
alarm	تشویش
alarm	دہشت
alarm	ڈر
alarm	کھل بلی
alarm	گھبراہٹ
alarmed	بھوچک
alarmed_scared	دہشت زدہ
alarming	بھیاون
alarming	دہشت انگیز
alarming	دہشت ناک
alas!	آہ
albeit	قطع نظر
albugo	پشپ
albugo	پشپک
album	البم
album	کشکول
alchemic	کیمیا اثر
alchemy	اکسیر
alchemy	اکسیر اعظم
alcohol	الکحل
alembic	انبیق
alert	تیار
alert	سبک خیز
alert	چار بانگ
alert	چالاک
alertness	آمادگی
alertness	پیش قدمی
alertness	چالاکی
alertness	چترائی
alexander	اسکندر
alienation	نقل
alienation	کھٹی
alif_of__allah	الف اللہ
alighting	نازل
alighting	نزول
alike	سماں
alike	عدیل
aliment	غذا
aliment.	غذائیت
alimentary_canal	نل
alis_help	علی مدد
alive_and_flourishing.	جیتا جاگتا
alive_and_well	جیتا جاگتا
all	آل
all	جامع
all	جزو کل
all	رگ و ریشہ
all	سارا
all	سب
all	غفیر
all	مجموع
all	کلی
all.	سب کچھ
all_at_once	ایک بار
all_at_once	ایک بارگی
all_at_once	ایک دم
all_at_once	ایک ساتھ
all_at_once	دفعتاً
all_at_once.	ناگہاں
all_day	دن بھر
all_experienced_old_man	گھاگ
all_life_long	مدت العمر
all_one	ایک بات
all_people_not_arabian	عجم
all_round.	گرد و پیش
all_sorts_of	کیا کیا
allah_almighty	خالق برحق
allah_almighty	خالق حقیقی
allayed	دھیمی
allayed	شانت
allayed	ٹھنڈا
allayed_or_soothed	التیام
allegation	الزام
allegation	حجت
alleged	مدعا
allegiance	اتباع
allegiance	اطاعت
allegiance	فرمان برداری
alleging	ایراد
alleviated	شانت
alleviating	تخفیف
alleviation	تخفیف
alley	ناکا
alley	پدی
alliance	حبل
alliance	رشتہ
alliance	قرابت
alliance	نسبت
alligator	ناکا
alligator	گاہ
alliteration	تجنیس
alliteration	جگت
allotment	الاٹ منٹ
allotment	بانٹ
allotment_of_land	کھیت بانٹ
allowable	حلال
allowable	محتمل
allowableness	احتمال
allowance	الاؤنس
allowance	الاونس
allowance	تنخواہ
allowance	شرح
allowance_of_good	چھرا
allowance_of_provisions	وظیفہ
allowed	شایاں
allowed_entrance	دخیل
allowing	تجویز
allowing_to_pass	مجوز
alloy	آمیزش
alloyed	جھوٹ
allurement	ترغیب
allurement	جذب
allurement	طمع
allurement	پرلوبھ
allurement	کشش
allurement.	کش مکش
alluring	دل چسپ
alluring	دل کش
allusion	حوالہ
alluvial_formation	کچھار
ally	رفیق
ally	ساتھی
almanac	پترا
almighty	قدیر
almond	بادام
almond	لوز
almond-shaped	بادامی
almost	قریب
almost.	عنقریب
alms	باڑا
alms	بترن
alms	بھکشا
alms	زکواۃ
alms	ستر
alms	صدقہ
alms.	بھور
almsgiving	بھور
aloak_or_wrapper	ردہ
aloe-wood	پرکر
aloes-wood	عود
alone	خالی
alone	مجرد
along	کنڈی
along_with	سمیت
along_with_the_fact	باوجود
along_with_the_fact	باوجودیکہ
along_with_the_fact	باوصف
aloof	الگ
alopathy	ایلوپیتھی
aloud	علانیہ
alpha	الفا
alpha_beta	الفا بیٹا
alpha_rays	الفا شعاع
alpha_rays	الفاریز
alphabet	الفابیٹ
alphabet_writing_or_hography	رسم الخط
also	بھی
also	نیز
also_apchhara_and_apsara.	ابچھرا
altar	سجادہ
altar	کمیلا
alter	بدلنا
alter	قربان گاہ
alteration	انقلاب
alteration	بدل
alteration	تحریف
alteration	جنگ و جدل
alteration	غیریت
alteration	پرخاش
altercation	بحث
altercation	جدال
altercation	جدل
altercation	جھمیلا
altercation	جھول جھال
altercation	مخاصمت
altercation	چخ
altercation	گفت و شنید
altercation	گفتگو
altercation.	حجت
altered	حراف
altered_(inform	محرف
altering	تحریف
altering	تحویل
altering	حرف
alternate_succession	تعاقب
alternating	تعاقب
alternation	تعاقب
although	باوجود
although	باوجودیکہ
although	باوصف
although	ورنہ
altogether	ایک دست
altogether	ایک قلم
altogether	ایک لخت
altogether	بالکل
alum.	پھٹکاری
aluminium	ایلومینیم
always	روز روز
always	روز مرہ
always	روز و شب
always	سدا
always	شب و روز
always.	دن دن بھر
amap	نقشہ
amaranth’s	کلغی
amass	بٹورنا
amass	جمانا
amatory_poem	غزل
amazed	آسیمہ
amazed	بھوچک
amazed	حیرتی
amazed	دنگ
amazed	پریشان
amazement	اچنبھا
amazement	تحیر
amazement	تعجب
amazement	حیرت
amazement	سناٹا
amazing	عجب
ambassador	مرسل
amber	امبر
ambergris	امبر
ambergris	عبوری ضمانت
ambergris	عبیر
ambergris	عنبر
ambiguity	اشتباہ
ambiguity	تذبذب
ambiguity	شبہ
ambiguity	پوشیدگی
ambiguous	محتمل
ambiguous	پیچ دار
ambition	حسد
ambition	حوصلہ
ambition	دھن
ambition	طمع
ambition	ہمت
ambition	ہوس
ambitious	بلند حوصلہ
ambitious.	بلند ہمت
ambitious_expression	رمز
ambulance	امبولنس
ambulance	ایمبولینس
ambuscade	گھات
ambush	گھات
amending	تدارک
amending	تہذیب
amendment	اصلاح
amendment	تہذیب
amendment	درستی
amendment	سنوار
amends	جزا
ament	لڑ
amiable	خوش
amiable	دل پذیر
amiable	رساں
amiable	مرغوب
amiable	نازنیں
amicably	دوستانہ
amity	اتفاق
amity	دوستی
