Token ID	Source Token	Source Lemma	Source POS	Translated Token	Translated Lemma	Synset ID	Link in Dictionary?	same_meaning	translation_equivalents
wf	over	over	 	 	 	 			
wf	the	the	 	 	 	 			
wf	short	short	 	 	 	 			
wf	and	and	 	 	 	 			
wf	long	long	 	 	 	 			
d000.s004.t006	term	term	N	اور	اور	bn:00076588n	FALSE		
wf	.	.	 	 	 	 			
wf	And	and	 	 	 	 			
wf	it	it	 	 	 	 			
wf	provides	provide	 	 	 	 			
wf	a	a	 	 	 	 			
wf	of	of	 	 	 	 			
d000.s005.t001	options	option	N	اختیارات	اختیار	bn:00003132n	TRUE		
wf	for	for	 	 	 	 			
wf	the	the	 	 	 	 			
wf	key	key	 	 	 	 			
d000.s005.t002	questions	question	N	سوالات	سوال	bn:00043267n	TRUE		
wf	","	","	 	 	 	 			
wf	including	include	 	 	 	 			
wf	how	how	 	 	 	 			
wf	developed	developed	 	 	 	 			
wf	and	and	 	 	 	 			
wf	major	major	 	 	 	 			
wf	emerging	emerge	 	 	 	 			
wf	economies	economy	 	 	 	 			
wf	would	would	 	 	 	 			
wf	cut	cut	 	 	 	 			
wf	their	they	 	 	 	 			
wf	carbon	carbon	 	 	 	 			
wf	output	output	 	 	 	 			
wf	","	","	 	 	 	 			
wf	and	and	 	 	 	 			
wf	what	what	 	 	 	 			
wf	would	would	 	 	 	 			
wf	be	be	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s005.t003	upper limit	upper_limit	N	اوپری	اوپری	bn:00053933n	FALSE		
wf	of	of	 	 	 	 			
wf	global	global	 	 	 	 			
d000.s005.t004	temperature	temperature	N	عالمی	عالمی	bn:00076457n	FALSE		
d000.s005.t005	rise	rise	N	حرارت	حرارت	bn:00067923n	FALSE		
wf	that	that	 	 	 	 			
wf	policymakers	policymaker	 	 	 	 			
wf	would	would	 	 	 	 			
wf	be	be	 	 	 	 			
wf	willing	willing	 	 	 	 			
wf	to	to	 	 	 	 			
wf	tolerate	tolerate	 	 	 	 			
wf	.	.	 	 	 	 			
wf	It	it	 	 	 	 			
wf	gives	give	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s006.t000	lot	lot	N	زیادہ	زیادہ	bn:00008985n	FALSE		
wf	of	of	 	 	 	 			
d000.s006.t001	flexibility	flexibility	N	لچک	لچک	bn:00035190n	TRUE		
wf	to	to	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s006.t002	process	process	N	عمل	عمل	bn:00064536n	TRUE		
wf	","	","	 	 	 	 			
wf	said	say	 	 	 	 			
wf	John	john	 	 	 	 			
wf	Coequyt	coequyt	 	 	 	 			
wf	","	","	 	 	 	 			
wf	senior	senior	 	 	 	 			
d000.s006.t003	Washington	washington	N	واشنگٹن	واشنگٹن	bn:00015501n	TRUE		
d000.s006.t004	representative	representative	N	نمائندے	نمائندہ	bn:00047203n	TRUE		
wf	for	for	 	 	 	 			
wf	the	the	 	 	 	 			
wf	Sierra	sierra	 	 	 	 			
wf	Club	club	 	 	 	 			
wf	.	.	 	 	 	 			
wf	Michael	michael	 	 	 	 			
wf	Zammit	zammit	 	 	 	 			
wf	Cutajar	cutajar	 	 	 	 			
wf	","	","	 	 	 	 			
wf	who	who	 	 	 	 			
wf	drafted	draft	 	 	 	 			
wf	the	the	 	 	 	 			
wf	six-page	six-page	 	 	 	 			
d000.s007.t000	document	document	N	دستاویز	دستاویز	bn:00028015n	TRUE		
wf	","	","	 	 	 	 			
wf	boiled	boil	 	 	 	 			
wf	down	down	 	 	 	 			
wf	a	a	 	 	 	 			
wf	180-page	180-page	 	 	 	 			
d000.s007.t001	negotiation	negotiation	N	مذاکرات	مذاکرہ	bn:00026838n	TRUE		
d000.s007.t002	text	text	N	متن	متن	bn:00076732n	TRUE		
wf	to	to	 	 	 	 			
wf	focus	focus	 	 	 	 			
wf	on	on	 	 	 	 			
wf	what	what	 	 	 	 			
wf	the	the	 	 	 	 			
wf	U.N.	u.n.	 	 	 	 			
wf	's	's	 	 	 	 			
wf	top	top	 	 	 	 			
d000.s007.t003	climate	climate	N	آب	آب	bn:00019780n	TRUE		
d000.s007.t004	official	official	N	عہدیدار	عہدیدار	bn:00036837n	FALSE		
wf	","	","	 	 	 	 			
wf	Yvo	yvo	 	 	 	 			
wf	de	de	 	 	 	 			
wf	Boer	boer	 	 	 	 			
wf	","	","	 	 	 	 			
wf	described	describe	 	 	 	 			
wf	as	as	 	 	 	 			
wf	``	``	 	 	 	 			
wf	the	the	 	 	 	 			
wf	big	big	 	 	 	 			
d000.s007.t005	picture	picture	N	تصویر	تصویر	bn:00062275n	TRUE		
wf	.	.	 	 	 	 			
wf	''	''	 	 	 	 			
wf	It	it	 	 	 	 			
wf	shows	show	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s008.t000	outlines	outline	N	خاکے	خاکہ	bn:00059783n	TRUE		
wf	for	for	 	 	 	 			
wf	a	a	 	 	 	 			
wf	possible	possible	 	 	 	 			
d000.s008.t001	deal	deal	N	معاہدے	معاہدہ	bn:00008568n	FALSE		
wf	","	","	 	 	 	 			
wf	in	in	 	 	 	 			
wf	which	which	 	 	 	 			
wf	industrial	industrial	 	 	 	 			
wf	nations	nation	 	 	 	 			
wf	would	would	 	 	 	 			
wf	collectively	collectively	 	 	 	 			
wf	cut	cut	 	 	 	 			
wf	their	they	 	 	 	 			
wf	by	by	 	 	 	 			
wf	2020	2020	 	 	 	 			
wf	by	by	 	 	 	 			
wf	25	25	 	 	 	 			
wf	to	to	 	 	 	 			
wf	45	45	 	 	 	 			
d000.s008.t003	percent	percent	N	فیصد	فیصد	bn:00061135n	FALSE		
wf	compared	compare	 	 	 	 			
wf	with	with	 	 	 	 			
wf	1990	1990	 	 	 	 			
d000.s008.t004	levels	level	N	سطح	سطح	bn:00025966n	FALSE		
wf	","	","	 	 	 	 			
wf	while	while	 	 	 	 			
wf	major	major	 	 	 	 			
d000.s008.t005	developing countries	developing_country	N	ترقی	ترقی	bn:00026694n	FALSE		
wf	would	would	 	 	 	 			
wf	reduce	reduce	 	 	 	 			
wf	theirs	theirs	 	 	 	 			
wf	during	during	 	 	 	 			
wf	the	the	 	 	 	 			
wf	same	same	 	 	 	 			
wf	by	by	 	 	 	 			
wf	15	15	 	 	 	 			
wf	to	to	 	 	 	 			
wf	30	30	 	 	 	 			
d000.s008.t007	percent	percent	N	30	30	bn:00061135n	FALSE		
wf	.	.	 	 	 	 			
wf	Together	together	 	 	 	 			
wf	","	","	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s009.t000	countries	country	N	ممالک	مُلک	bn:00023236n	TRUE		
wf	would	would	 	 	 	 			
wf	cut	cut	 	 	 	 			
d000.s009.t001	emissions	emission	N	اخراج	اخراج	bn:00027473n	FALSE		
wf	between	between	 	 	 	 			
wf	50	50	 	 	 	 			
wf	and	and	 	 	 	 			
wf	95	95	 	 	 	 			
d000.s009.t002	percent	percent	N	فیصد	فیصد	bn:00061135n	FALSE		
wf	by	by	 	 	 	 			
wf	2050	2050	 	 	 	 			
wf	.	.	 	 	 	 			
wf	The	the	 	 	 	 			
d000.s010.t000	European Union	european_union	N	یورپی	یورپی	bn:00021127n	TRUE		
wf	gave	give	 	 	 	 			
wf	the	the	 	 	 	 			
wf	a	a	 	 	 	 			
wf	as	as	 	 	 	 			
wf	well	well	 	 	 	 			
wf	on	on	 	 	 	 			
d000.s010.t003	Friday	friday	N	کو	کو	bn:00036512n	FALSE		
wf	by	by	 	 	 	 			
wf	pledging	pledge	 	 	 	 			
wf	to	to	 	 	 	 			
wf	provide	provide	 	 	 	 			
wf	$	$	 	 	 	 			
wf	3.6	3.6	 	 	 	 			
wf	billion	billion	 	 	 	 			
wf	a	a	 	 	 	 			
wf	over	over	 	 	 	 			
wf	the	the	 	 	 	 			
wf	next	next	 	 	 	 			
wf	three	three	 	 	 	 			
d000.s010.t005	years	year	N	تین	تین	bn:00078738n	FALSE		
wf	to	to	 	 	 	 			
wf	help	help	 	 	 	 			
wf	poorer	poorer	 	 	 	 			
wf	adapt	adapt	 	 	 	 			
wf	to	to	 	 	 	 			
wf	the	the	 	 	 	 			
wf	of	of	 	 	 	 			
wf	--	--	 	 	 	 			
wf	from	from	 	 	 	 			
wf	coping	cope	 	 	 	 			
wf	with	with	 	 	 	 			
d000.s010.t009	flood	flood	N	نمٹنے	نمٹنا	bn:00002954n	FALSE		
wf	and	and	 	 	 	 			
d000.s010.t010	drought	drought	N	سیلاب	سیلاب	bn:00028863n	FALSE		
wf	to	to	 	 	 	 			
wf	avoiding	avoid	 	 	 	 			
d000.s010.t011	deforestation	deforestation	N	سے	سے	bn:00025949n	FALSE		
wf	.	.	 	 	 	 			
wf	Still	still	 	 	 	 			
wf	","	","	 	 	 	 			
d000.s011.t000	Friday	friday	N	جمعہ	جمعہ	bn:00036512n	TRUE		
wf	featured	feature	 	 	 	 			
wf	the	the	 	 	 	 			
wf	same	same	 	 	 	 			
d000.s011.t001	sort	sort	N	طرح	طرح	bn:00035907n	FALSE		
wf	of	of	 	 	 	 			
wf	verbal	verbal	 	 	 	 			
wf	fireworks	firework	 	 	 	 			
wf	that	that	 	 	 	 			
wf	have	have	 	 	 	 			
wf	dominated	dominate	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s011.t002	talks	talk	N	تقریروں	تقریر	bn:00075965n	TRUE		
wf	for	for	 	 	 	 			
wf	the	the	 	 	 	 			
wf	past	past	 	 	 	 			
d000.s011.t003	week	week	N	ہفتے	ہفتہ	bn:00014711n	TRUE		
wf	.	.	 	 	 	 			
d000.s012.t000	U.S.	u.s.	N	امریکی	امریکی	bn:00078848n	TRUE		
wf	special	special	 	 	 	 			
d000.s012.t001	climate	climate	N	آب	آب	bn:00019780n	TRUE		
d000.s012.t002	envoy	envoy	N	نمائندے	نمائندہ	bn:00031083n	TRUE		
wf	Todd	todd	 	 	 	 			
wf	Stern	stern	 	 	 	 			
wf	rejected	reject	 	 	 	 			
d000.s012.t003	language	language	N	زبان	زبان	bn:00049915n	TRUE		
wf	requiring	require	 	 	 	 			
wf	binding	binding	 	 	 	 			
d000.s012.t004	cuts	cut	N	کمی	کمی	bn:00024615n	FALSE		
wf	of	of	 	 	 	 			
wf	greenhouse-gas	greenhouse-gas	 	 	 	 			
wf	for	for	 	 	 	 			
wf	industrialized	industrialized	 	 	 	 			
wf	countries	country	 	 	 	 			
wf	compared	compare	 	 	 	 			
wf	with	with	 	 	 	 			
wf	voluntary	voluntary	 	 	 	 			
wf	by	by	 	 	 	 			
wf	major	major	 	 	 	 			
wf	emerging	emerge	 	 	 	 			
wf	economies	economy	 	 	 	 			
wf	if	if	 	 	 	 			
wf	they	they	 	 	 	 			
wf	were	be	 	 	 	 			
wf	not	not	 	 	 	 			
wf	funded	fund	 	 	 	 			
wf	by	by	 	 	 	 			
wf	the	the	 	 	 	 			
wf	developed	developed	 	 	 	 			
wf	world	world	 	 	 	 			
wf	.	.	 	 	 	 			
wf	The	the	 	 	 	 			
d000.s013.t000	move	move	N	چلتا	چلنا	bn:00056029n	TRUE		
wf	signaled	signal	 	 	 	 			
wf	that	that	 	 	 	 			
wf	the	the	 	 	 	 			
wf	Obama	obama	 	 	 	 			
wf	administration	administration	 	 	 	 			
wf	is	be	 	 	 	 			
wf	taking	take	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s013.t001	harder line	hard_line	N	سخت	سخت	bn:00042938n	TRUE		
wf	with	with	 	 	 	 			
d000.s013.t002	China	china	N	ساتھ	ساتھ	bn:00016756n	FALSE		
wf	than	than	 	 	 	 			
wf	did	do	 	 	 	 			
wf	just	just	 	 	 	 			
wf	two	two	 	 	 	 			
wf	ago	ago	 	 	 	 			
wf	.	.	 	 	 	 			
wf	The	the	 	 	 	 			
wf	is	be	 	 	 	 			
wf	not	not	 	 	 	 			
wf	going	go	 	 	 	 			
wf	to	to	 	 	 	 			
wf	do	do	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s014.t001	deal	deal	N	سے	سے	bn:00008568n	FALSE		
wf	without	without	 	 	 	 			
wf	the	the	 	 	 	 			
wf	major	major	 	 	 	 			
wf	stepping	step	 	 	 	 			
wf	up	up	 	 	 	 			
wf	and	and	 	 	 	 			
wf	taking	take	 	 	 	 			
d000.s014.t003	action	action	N	اور	اور	bn:00001135n	FALSE		
wf	","	","	 	 	 	 			
wf	said	say	 	 	 	 			
wf	Stern	stern	 	 	 	 			
wf	","	","	 	 	 	 			
wf	who	who	 	 	 	 			
wf	also	also	 	 	 	 			
wf	complained	complain	 	 	 	 			
wf	that	that	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s014.t004	text	text	N	کہ	کہ	bn:00076732n	FALSE		
wf	did	do	 	 	 	 			
wf	not	not	 	 	 	 			
wf	do	do	 	 	 	 			
wf	enough	enough	 	 	 	 			
wf	to	to	 	 	 	 			
wf	make	make	 	 	 	 			
wf	sure	sure	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s014.t005	cuts	cut	N	یقینی	یقینی	bn:00024615n	FALSE		
wf	could	could	 	 	 	 			
wf	be	be	 	 	 	 			
wf	verified	verify	 	 	 	 			
wf	by	by	 	 	 	 			
wf	outside	outside	 	 	 	 			
d000.s014.t006	observers	observer	N	کی	کا	bn:00020980n	FALSE		
wf	.	.	 	 	 	 			
wf	Stern	stern	 	 	 	 			
wf	made	make	 	 	 	 			
wf	his	he	 	 	 	 			
d000.s015.t000	comments	comment	N	تبصرے	تبصرا	bn:00020977n	FALSE		
wf	an	a	 	 	 	 			
d000.s015.t001	hour	hour	N	گھنٹے	گھنٹہ	bn:00044982n	TRUE		
wf	after	after	 	 	 	 			
wf	Chinese	chinese	 	 	 	 			
wf	vice	vice	 	 	 	 			
d000.s015.t002	foreign minister	foreign_minister	N	خارجہ	خارجہ	bn:00035831n	FALSE		
wf	He	he	 	 	 	 			
wf	Yafei	yafeus	 	 	 	 			
wf	said	say	 	 	 	 			
d000.s015.t003	America	america	N	کیے	کرنا	bn:00003341n	FALSE		
wf	's	's	 	 	 	 			
wf	top	top	 	 	 	 			
d000.s015.t004	climate	climate	N	اعلیٰ	اعلیٰ	bn:00019780n	FALSE		
d000.s015.t005	negotiator	negotiator	N	آب	آب	bn:00057209n	FALSE		
wf	was	be	 	 	 	 			
wf	either	either	 	 	 	 			
wf	lacking	lack	 	 	 	 			
wf	``	``	 	 	 	 			
wf	''	''	 	 	 	 			
wf	or	or	 	 	 	 			
wf	being	be	 	 	 	 			
wf	``	``	 	 	 	 			
wf	extremely	extremely	 	 	 	 			
wf	irresponsible	irresponsible	 	 	 	 			
wf	''	''	 	 	 	 			
wf	for	for	 	 	 	 			
wf	saying	say	 	 	 	 			
wf	earlier	earlier	 	 	 	 			
wf	in	in	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s015.t007	week	week	N	میں	میں	bn:00014711n	FALSE		
wf	that	that	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s015.t008	United States	united_states	N	کہ	کہ	bn:00078848n	TRUE		
wf	would	would	 	 	 	 			
wf	not	not	 	 	 	 			
wf	help	help	 	 	 	 			
wf	financially	financially	 	 	 	 			
wf	to	to	 	 	 	 			
wf	cope	cope	 	 	 	 			
wf	with	with	 	 	 	 			
d000.s015.t010	global warming	global_warming	N	کی	کا	bn:00040681n	TRUE		
wf	.	.	 	 	 	 			
wf	With	with	 	 	 	 			
wf	the	the	 	 	 	 			
wf	future	future	 	 	 	 			
wf	economic	economic	 	 	 	 			
wf	of	of	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s016.t001	world	world	N	دنیا	دنیا	bn:00029424n	TRUE		
wf	's	's	 	 	 	 			
d000.s016.t002	major powers	major_power	N	بڑی	بڑی	bn:00041585n	FALSE		
wf	at	at	 	 	 	 			
wf	stake	stake	 	 	 	 			
wf	","	","	 	 	 	 			
d000.s016.t003	fault lines	fault_line	N	.	.	bn:00033819n	FALSE		
wf	have	have	 	 	 	 			
wf	erupted	erupt	 	 	 	 			
wf	both	both	 	 	 	 			
wf	within	within	 	 	 	 			
wf	the	the	 	 	 	 			
wf	developing	develop	 	 	 	 			
wf	world	world	 	 	 	 			
wf	and	and	 	 	 	 			
wf	between	between	 	 	 	 			
wf	the	the	 	 	 	 			
wf	industrial	industrial	 	 	 	 			
wf	world	world	 	 	 	 			
wf	and	and	 	 	 	 			
wf	emerging	emerge	 	 	 	 			
wf	economies	economy	 	 	 	 			
wf	.	.	 	 	 	 			
wf	The	the	 	 	 	 			
wf	current	current	 	 	 	 			
d000.s017.t000	battle	battle	N	جدوجہد	جدوجہد	bn:00009080n	FALSE		
wf	is	be	 	 	 	 			
wf	as	as	 	 	 	 			
wf	much	much	 	 	 	 			
wf	about	about	 	 	 	 			
wf	saving	save	 	 	 	 			
wf	individual	individual	 	 	 	 			
d000.s017.t001	economies	economy	N	معیشتوں	معیشت	bn:00029678n	TRUE		
wf	as	as	 	 	 	 			
wf	saving	save	 	 	 	 			
wf	the	the	 	 	 	 			
wf	","	","	 	 	 	 			
wf	with	with	 	 	 	 			
d000.s017.t003	China	china	N	چین	چین	bn:00016756n	FALSE		
wf	and	and	 	 	 	 			
d000.s017.t004	United States	united_states	N	متحدہ	متحدہ	bn:00078848n	TRUE		
wf	feuding	feud	 	 	 	 			
wf	over	over	 	 	 	 			
wf	their	they	 	 	 	 			
wf	respective	respective	 	 	 	 			
wf	while	while	 	 	 	 			
wf	poorer	poorer	 	 	 	 			
wf	insist	insist	 	 	 	 			
wf	that	that	 	 	 	 			
wf	the	the	 	 	 	 			
wf	's	's	 	 	 	 			
wf	most	most	 	 	 	 			
wf	influential	influential	 	 	 	 			
d000.s017.t009	countries	country	N	زیادہ	زیادہ	bn:00023236n	FALSE		
wf	are	be	 	 	 	 			
wf	ignoring	ignore	 	 	 	 			
wf	the	the	 	 	 	 			
wf	scientific	scientific	 	 	 	 			
wf	to	to	 	 	 	 			
wf	take	take	 	 	 	 			
wf	bolder	bolder	 	 	 	 			
d000.s017.t011	action	action	N	کرنے	کرنا	bn:00001135n	FALSE		
wf	.	.	 	 	 	 			
wf	Ricardo	ricardo	 	 	 	 			
wf	Ulate	ulate	 	 	 	 			
wf	","	","	 	 	 	 			
wf	a	a	 	 	 	 			
wf	Costa	costa	 	 	 	 			
wf	Rican	rican	 	 	 	 			
d000.s018.t000	delegate	delegate	N	نمائندے	نمائندہ	bn:00026025n	TRUE		
wf	","	","	 	 	 	 			
wf	said	say	 	 	 	 			
wf	it	it	 	 	 	 			
wf	's	'	 	 	 	 			
wf	not	not	 	 	 	 			
wf	surprising	surprising	 	 	 	 			
wf	that	that	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s018.t001	major powers	major_power	N	بڑی	بڑی	bn:00041585n	FALSE		
wf	are	be	 	 	 	 			
wf	fighting	fight	 	 	 	 			
wf	over	over	 	 	 	 			
wf	who	who	 	 	 	 			
wf	should	should	 	 	 	 			
wf	bear	bear	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s018.t002	costs	cost	N	اس	یہ	bn:00022995n	FALSE		
wf	for	for	 	 	 	 			
wf	curbing	curb	 	 	 	 			
d000.s018.t003	greenhouse gases	greenhouse_gas	N	روکنے	روکنا	bn:00041712n	FALSE		
wf	","	","	 	 	 	 			
wf	even	even	 	 	 	 			
wf	as	as	 	 	 	 			
wf	vulnerable	vulnerable	 	 	 	 			
wf	have	have	 	 	 	 			
wf	become	become	 	 	 	 			
wf	more	more	 	 	 	 			
wf	aggressive	aggressive	 	 	 	 			
wf	in	in	 	 	 	 			
wf	seeking	seek	 	 	 	 			
wf	to	to	 	 	 	 			
wf	hold	hold	 	 	 	 			
wf	the	the	 	 	 	 			
wf	big	big	 	 	 	 			
wf	emitters	emitter	 	 	 	 			
wf	accountable	accountable	 	 	 	 			
wf	for	for	 	 	 	 			
wf	their	they	 	 	 	 			
d000.s018.t005	actions	action	N	کو	کو	bn:00001127n	FALSE		
wf	.	.	 	 	 	 			
wf	This	this	 	 	 	 			
wf	is	be	 	 	 	 			
wf	clearly	clearly	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s019.t000	game	game	N	کھیل	کھیل	bn:00037187n	TRUE		
wf	where	where	 	 	 	 			
wf	a	a	 	 	 	 			
wf	new	new	 	 	 	 			
wf	economic	economic	 	 	 	 			
wf	is	be	 	 	 	 			
wf	being	be	 	 	 	 			
wf	developed	develop	 	 	 	 			
wf	","	","	 	 	 	 			
wf	said	say	 	 	 	 			
wf	Ulate	ulate	 	 	 	 			
wf	","	","	 	 	 	 			
wf	who	who	 	 	 	 			
wf	also	also	 	 	 	 			
wf	serves	serve	 	 	 	 			
wf	as	as	 	 	 	 			
wf	the	the	 	 	 	 			
wf	regional	regional	 	 	 	 			
d000.s019.t002	Mexico	mexico	N	میکسیکو	میکسیکو	bn:00054693n	FALSE		
wf	and	and	 	 	 	 			
d000.s019.t003	Central America	central_america	N	وسطی	وسطی	bn:00017172n	FALSE		
d000.s019.t004	climate change	climate_change	N	امریکہ	امریکہ	bn:00019782n	FALSE		
d000.s019.t005	adviser	adviser	N	موسمیاتی	موسمیاتی	bn:00001598n	FALSE		
wf	for	for	 	 	 	 			
wf	Conservation	conservation	 	 	 	 			
wf	International	international	 	 	 	 			
wf	.	.	 	 	 	 			
wf	Some	some	 	 	 	 			
wf	of	of	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s020.t000	countries	country	N	ممالک	مُلک	bn:00023236n	TRUE		
wf	most	most	 	 	 	 			
wf	vulnerable	vulnerable	 	 	 	 			
