bottomless	اتھاہ اگم بے پیندہ
falsehood	اباطیل بطالت بُطل تزویر جُھوٹ خِلاف دروغ کِذب گُزاف فسق جھوٹ کذب
lie	اباطیل اِختراع اُشغُلہ اُشقُلہ اِفترا افسانہ اِفک اکاذیب ٹٹرّی جھر جُھوٹ دروغ ساختہ کِذب گُزاف مُداہنت ہُلہُلا عائد کرنا لٹانا زیادہ شور نہ مچانا لتاڑنا نمائش چادر چڑھانا چھل دھوکا فریب جھوٹ کذب ریا گوئ جھوٹائ
anger	اُبال اِثارت اسف اِشتعال آتش آزُردگی آگ بُخار برہمی بِھنّاٹا پِتّا تامس تپ تحوُّر تِیہا جلال جِن جھانجھ جھر جھل جھلاّہٹ چھو حرارہ حمِیّت خروش خشم خُشُونت خشیّت خفگی راگ رِس سرگرانی طنطنہ طَیش عِتاب غُرِّش غُصّہ غضب غضَبی غَیظ قہر کِرودھ کوپ کُھنّس گرمی مروڑ مُعاتبت ناراضی وٹ عتاب غصہ جلاپا تن پھن طیش ابال ژیان دلانا آنا
rage	اُبال اِثارت آتش بُخار بھڑک پرکوپ تائو تِیہا جلال جلن جُنُون جھانجھ جھر جِھڑجِھڑاٹ جھل جھلاّہٹ چِلّانا حمِیّت خشم سنّاٹا طَیش غُرِّش غُصّہ غَیظ قہر کِرودھ کوپ کَھولنا گرمی مار بخار غیظ غضب غصہ حرارہ جذبہ جنون خبط مقبولیت تاب طیش ابال
boil	اُبالا اُبلا اُبلنا اَوٹنا بالیدگی بتَوری بھبکنا پاکا پِرکی پھدک پھوڑا تتّا جمرہ جوش جوشان حر دُمّل دُنبل راندھنا سِجھانا سعفہ غلیان کھدبدانا کھلبلانا کَھولتا کَھولنا مطبوخ پھیل ابال میں آنا گلانا دینا کھولانا ابالنا کھولنا ابلنا دنبل
satans	ابالیس
lucifers	ابالیس
begin	اِبتدا ابجد اُٹھان اصل اِفتتاحی اوائِل اوّل آد آرمبھ آغاز بدایت بدو بُنیاد پرستاؤ پہل حداثت دُوار دہلیز دُھر سر سِرا شُروع شُروعات کھولنا لگنا مُبتدا مبدا نادھنا ناندھنا نُخُست نِکلنا نیو شروع تکمیل غاز ختم مبادی کیا داغ بیل ابتدا اٹھان ابتدائ کرنا لگانا ہونا چھڑنا
origin	اِبتدا اصل اُم اور آد آغاز باعِث بِنا بُنیاد بُنیان بِیج بیخ تُخم تُخمہ تہ جذر جُرثُومہ جڑ جنم جھیرا حداثت حِکمت ذات سرچشمہ سمبھَو گَوہر گھر ماخذ ماں ماوا مبادی مبدا مبنیٰ مصدر منابع منبع منشا مُول نِژاد نِصاب نِکاس ہڈّی باعث جزر پانی سر عنصر
source	اِبتدا اصل اُم اور بِنا بُنیاد بِیج بیخ جڑ جھیرا چشمہ ذرائع سادھن سرچشمہ سِیڑھی عَین کان کُنجی گھر ماخذ ماں ماوا مبدا مخارج مخرج مصادِر مصدر منابع منبع منشا مُول نِکاس وجہ
commencement	اِبتدا اوائِل اوّل آد آرمبھ آغاز آگم بدایت پہل حافِرت دُوار دہلیز سر شُروع فاتحہ مُبتدا نیو ابتدا مبتدا شروع
birth	اِبتدا پَیدائش تُخمہ تولُّد تَولید تَولیدگی جاتک جنم سمبھَو مِیلاد وِلادت یونی میلاد پیدائش اولادت ظہور ذات
start	اِبتدا اُٹھان آغاز بدو بُنیاد چلا چلانا چلنا حداثت دُھر شُد شُروع شُروعات کھولنا نادھنا کرنا چل پڑنا ڈول ڈالنا شروع ہونا کھلنا ابتدا
heresy	اِبتداع اِلحاد تجدیف رفض زندقہ زِندیقی غوایت بدعت گمراہی الحاد کفر
innovation	اِبتداع اِبتکار اِبداع اُپج اِجتہاد اِختراع اُگت اِیجاد بداعت بِدعت تازگی تجدُّد جِدّت اختراع جددت نئی راہ تبدیلی تجدد
invention	اِبتداع اِبداع اُپج اِختراع اُگت اِیجاد بداعت تخلیق دریافت رچنا مُخترع وضع ایجاد اختراع ترکیب
creation	اِبتداع اِبداع اِختراع اِنشا اِیجاد پَیدائش تکوین خلق خِلقت رچنا سِرشٹ مخلوق نشأۃ وریٰ یونی تخلیق وجود فریں آفرینش فطرت ایجاد خلقت پیدائش
initial	اِبتدائی پرتھم دستخط ابتدائ حروف آغازی پہلا شروع کا
preliminary	اِبتدائی تمہیدی تہ لیہ مقدماتی پیشلی آزمائشی افتتاحی
elementary	اِبتدائی اصلی بنیادی ابتدائ تمہیدی عنصری
primary	اِبتدائی اساسی بسیط بُنیادی پرتھم پہلا تحتانی صدر اصلی ابتدائ قبل
basic	اِبتدائیات اقانیم بُنیادی صدر عُنصری کِلیدی مصدری اساسی اصل بنیادی
fundamental	اِبتدائیات اساسی اقانیم بُنیادی عُنصری مبادی اصلی دمنتال بنیادی ابتدائ ضروری
preface	اِبتدائیّہ پریچَے پیشگفتار تقدِمہ تمہید دِیباچہ طَوطیا مُقدّمہ دیبا چہ مقدمہ
lewdness	اِبتذال چِھنالا عیاشی نفس پرستی شہوت رندی
filth	اِبتذال اٹ الواث انجاس آخور آلائش پاخانہ چِرک چِھی خباثت خُبث خلاب ڈھابر غِلاظت فُضلہ گند مل مَیل مَیلا نجاست نجس گندگی اخور غلاظت کوڑا کرکٹ میل
indecency	اِبتذال ناشائستگی نامعقولیت بازاری پن برا فحاشت
vulgarity	اِبتذال چبوڑ رکاکت اوچھا پن بے ہودگی بھدا جملہ گنوار کمینہ سفلہ سوقیت
foulness	اِبتذال آلودگی کسافت گدلاہٹ کدورت کثافت
triteness	اِبتذال فرسُودگی
childless	ابتر اُوت عقیر لاولد بے اولاد بانجھ
miserable	ابتر اُفتادہ اُفتِندہ چندرا خراب خوار درماندہ دُکھی دگرگوں ژولیدہ گِرا مِسکین منکُوب نِکھتّر آفت زدہ بدحال بے آرام خستہ حال شوم
scatter	ابتر اُچھالنا افشاں افشانی اِنتشار اِنحلال آوارہ بِترانا بِتھارنا بِتُھوننا بٹانا برسانا بِکھرا بِکھرانا بِکھراؤ بکھیرنا بگارنا بِھرّی پاش پاشان پاشانی پاشِش پاشی پراگندہ پریدہ پریشان پھَیلانا تبدید تِتربِتّر تِربِھر توڑنا تَوزیع تھتھلنا جولیدہ چِھترانا چِھترائو چِھتربِتر چھٹپٹانا چِھٹکانا چِھدرانا چِھڑکنا چِھینٹا ریختہ ریز ریزاں ریزش فِشاں فِشانی گُستر گُستری گھال مُتفرِّق منشور نِثار نشَر نثار ڈالنا پھیلانا پھینکنا بکھرنا چھٹکنا شیرازہ
spoil	ابتر اُجاڑ بِگاڑنا بِگڑا بھگرا بھنڈکرنا تباہ تضیع خراب داغی کِرکِرا کِرکِری کرنا گُسِل گوکرنا گوڑنا لُوٹ مُخرِّب برباد بگڑا ضائع لوٹ مال غنیمت بگاڑنا کرکرا بگڑنا ہونا
deteriorate	ابتر بِگڑنا بِلٹنا دگرگوں ڈگمگانا بد تر کرنا
disorderly	ابتر اُٹپٹانگ دَھونتال رِندانہ
ruin	ابتر ابتری اُپاڑنا اِتلاف اُجاڑ اُجاڑنا اُجڑا اِستہلاک اِصطلام اقطع اُکٹنا بباد بِٹھانا بِچھنا بربادی بِگاڑنا بِگڑنا بِناس بھنڈکرنا پامال پٹ پریشان پِیسنا تاراج تباہ تباہی تلپٹ تلف ٹُوٹنا چَوپٹ چھاچھی حِصن خرابات خرابہ خوار خُورد دُرگت دلنا دہکانا ڈُبانا ڈھانا ڈھئی زبُونی ستیاناس ستّیاناس صفایا غارت کباڑا کھانا گڑبڑ گُسِل گلانا گوڑنا گھالنا مارا مُتلِف مرج مرَن مسلنا مِسمار ملیامیٹ ناس نشٹ نیست نیستی وبال وِیران وِیرانہ وِیرانی یاوہ برباد بگڑنا خراب مسمار اجاڑ ویران لٹس آثار اثر فنا ہلاکت کھنڈر اتلاف صفائ ویرانی ضرر کرنا بگاڑنا ڈبونا اجاڑنا
confuse	ابتر آشُفتہ برہم بَوکھل پرخم جولیدہ جھکالا چکرم خفقانی خِیر درہم دڑبڑانا ژولیدہ سراسِیمہ کانورا گڈمڈ گھابرا مُجمل مخبُوط مُختل نااُستوار آشفتہ فگار پریشان سرا سیمہ قافیہ تنگ کرنا
disorder	ابتری اُتھلانا اِختلال اِفساد اگڑبگڑ اندھیر بِیکا بِیماری بھاگا بھگدڑ تزلزل تشتُّت تشنُّج چلبِچل خلل درہمی سقیم عارِضہ فُتور فساد فَوضی کلبل کھکھیڑ گڑبڑ گھپلا گھوٹالا نازِلہ ہڑبڑ ہڑبڑی ہڑبَونگ عارضہ فتور گڑ بڑ ہنگامہ ہڑ بونگ روگ الٹا پلٹی
confusion	ابتری اِبہام اِختلال اگڑبگڑ اِلتباس اُلجھن اُلجھیڑا اِنتشار بدحواسی برہمی بِکھراؤ بَوکھلاہٹ بَولاہٹ بھاگا بھبّڑ بھربھنڈ بھرم بھگدڑ تزلزل تشتُّت تشعیث توزُّع جھمیلا چکّر حَیرانی خبط خطا خلط خلفِشار خلل درہمی دغدغہ دُھپّل رلا سرگردانی شوریدگی قِیامت کلبل کھٹراگ کھکھیڑ گپڑچَوتھ گڑبڑ گڑبڑاہٹ گڑبڑی گُنجلک گھبرا گھبراہٹ گھپلا گھوٹالا گھولوا لپیٹ نااستواری ہرج ہڑاہڑی ہڑبڑ ہڑبڑی ہلبل افراتفری آشوب گڑ بڑ گول مال ہنگامہ حیرانی ہراس انتشار
mismanagement	ابتری بدانتظامی بدنظمی گڑبڑ بد انتظامی گڑ بڑ
smile	اِبتسام بسیم تبسُّم خُرّم خنداں خندہ ضاحِک مُبتسم مُتبسّم مُسکان مُسکانا مُسکرانا مُسکراہٹ ہشّاش مسکانا مسکرانا ابتسام مسکرا ہٹ تبسم متبسم مسکراہٹ خندان
cheerfulness	اِبتسام اِبتہاج خُرّمی خُوشی دم سرخوشی سُرُور شِگُفتگی طرب فرح فرحت قُرّۃ کُشائش مسرّت نُزہت نِشاط ہنسی بشاشت خندہ پیشانی نشاط مسرت
desire	اِبتغا ابِھلاشا اِچّھا اِچھیا اِرادہ ارمان اِستدعا اِشتہا اِشتیاق اشواق اِشہا اغراض امانی اُمنگ اُمِّید آرزو آرزومندی آس آسا آشا آمال آن بات بر بھات بھاون بھاونا بھُوک پرارتھ پرتیکشا پروجن پیاس پیکھنا تانگ تپّڑ تِرشا تِرِشنا تڑپ تِشنگی تعشُّق تمنّا تَوقان جھال چاٹ چاہ چاہا چاہت چاہنا چائو چَونپ چِیتا چِیتنا چَھو حرفِمطلب حسرت حنف حَوصلہ خواست خواستہ خواہ داعِیہ درکار دِلخواہ دِماغ دُھن رِتی رُچ رُچنا رضا رغبت رَو رِیجھ زار سر سِگالی سنکلپ شرہ شَوق طلب کام کامنا گُونج لالے لگن لگی مد مُدّعا مُراد مُراغبت مُستدعی مُشتہی مطبوع مطبوعہ مطلب مطلوب مُقتضا منِش منورتھ مُنیت مَیل نہمت نِیاز نِیّت ور ہم ہوا خواہش درخواست مرغوب کرنا جی چلنا چاؤ حوصلہ ہوس حرص حب ہڑکنا ارادہ اشتیاق جذبہ مقصد مرضی مراد پرواہ شوق تشنگی
urge	اِبتغا اُبھارنا اِشتہا اُمنگ انگیخت اِیما بھرّا بھرّے تحرُّک تحریک تشویق تقاضائی چڑھانا چُلچُلی چیٹک تاکید کرنا زور ڈالنا چاہت خواہش
demand	اِبتغا اِقتضا بِکری بُلاؤ تانگ تجوُّع تقاضا داعِیہ دعاوی دعویٰ زرِیافتنی طالِب طلب طلبی گاہکی مانگ مانگے مُتقاضی مطالب مُطالبہ مطلوب مُقتضا مُقتضی تھ وھیں درخواست احتیاج کرچاہ خواہش کرنا مانگنا مطالبہ چاہ اقتضا پکار سوال
initiative	اِبتکار پہل آغاز ہدایت شروع
misfortune	اِبتلا ابھاگ اَولکھن آفت آلام بِپتا بِجوگ بدی بلیّات پھیر ٹھوکر جھکور جھکولا چکّر حوادِث خِذلان داغ درماندگی سنکٹ سنیچر سِیاہی شامت شقاوت شُومی شُومیت فلاکت کانپ گردشِبخت گردی گزند مصائب مُصیبت ناسازگاری نامرادی نازِلہ نُحُوست نکبت نوائب نَوبت وبال بلا بدقسمتی چکر چپیٹ گردش حادثہ ابتلا جوکھوں کم بختی مصیبت نحوست پھوٹی تقدیر شومی الٹا زمانہ
trial	اِبتلا آنچ پرکھ تجربہ خِبرت آزمائش جانچ تلاش امتحان مس لہ زما آزمائشی کوشش بلا ابتلا محنت مقدمہ
distress	اِبتلا اُفتاد افسردگی افسوس اوہ آزُردگی بِپتا بلا پریشانی تاَذّی تپِش تکلیف تلاطُم چٹپٹاہٹ حَیرانی خُسُوف خواری درماندگی دُکھ رستار رنج ژولیدَگی سُتوہ سختی سرگردانی سکیت صُعُوبت ضِیق عُسرت عنا فاجِعہ فلاکت کرب کشٹ کُلفت آزاردہ پریشان کن آفت بد بختی بپتا گھبراہٹ حیرانی کلفت قرقی افتاد ذیق
suffer	اِبتلا آلام بِپتا بِتھا بھرنا بھرنی بُھگتنا بھوگ تعب تکلیف جُھکنی جِھلنا جھیلنا چکھنا خوری دُکھ دُکھڑا رنج رنجُور سنتاپ سہن سہنا کٹھ کسالا کشاں کشی کِلسنا کھانا کھینا مُبتلا نکال بیماری معاناہ جزی ناراض مِحَن اذیت دل سوختہ دکھ ابتلا کڑی مصیبت صبر صدمہ مبتلا چوٹ دکھیا ہونا اٹھانا پانی پھر جانا پڑنا
temptation	اِبتلا بھڑی ترغیب تِشنگی تغریہ فِتنہ لالچ لُبھاؤ لوبھ مار مہمیز وسوسہ تحریص بہکاؤ فتنہ
happiness	اِبتہاج اُتسَو اِرتیاح اِنتعاش اِنفراح اہا آنند آنندتا بخت برخورد بھاگ پرسنّتا پرہلاد پِیت پُھول تنعُّم حُبُور خُرسندی خُورسندی خُوشنودی خُوشی خَیر خَیریت دَولت ذَوق رِفاہ رومانچ سعادت سُکھ سُہاگ شِگُفت طرب طُوبیٰ طِیب ظُہُورا فلاح کُشل کُشُود کلیان گت مد معموری منگل مَیمنت ہرش شادمانی آسودہ حالی چین فراغت خیر خوشی راحت سکھ
gaiety	اِبتہاج پرِبھوگ چُلبُلاہٹ خُوشی شَوق گت بانک پن بشاشت
gladness	اِبتہاج اِرتیاح اِنبساط خُرّمی خُوشی شادمانی مسرّت نِشاط ہرش ہُلاس فرح خوشی سرور
beseech	اِبتہال اِلتماس بِلبِلانا رِڑکنا سائیجبیں گِڑگِڑانا گھِگیانا مُستدعی مُلتجی مُلتمِس مِنتی التجا کرنا ناک رگڑنا ہاتھ پاؤں جوڑنا
humbleness	اِبتہال اِنکساری تخشُّع نِیچائی
humility	اِبتہال اِخبات اِفتقار اِنکسار اِنکساری بندگی تخشُّع تذلُّل تضرُّع حِشمت خُشُوع خُضوع ضراعت عاجِزی عِجز فِروتنی کسرِنفسی لجاجت مسکنت مِسکینی نِیاز وضاعت عاجزی فقیری فرو تنی غربت کسر نفسی خشوع
flour	اُبٹن آٹا آرد پِسان چُون دقائق دقیق
inception	ابجد اِفتتاح آغاز ابتدا شروع
abjad	ابجد
argument	ابحاث ادِلّہ اِستدلال بِباد بحث بِگوبشنو ترک تکرار تہتُّک حُجّت دلالت دلائل دلِیل ردوبدل کُھڑپینچ لاگ مُباحِثہ مُناظرہ ہفتش جھنگ تکلیف نزاع جدل مطالبہ اعتراض دلیل حجت جرح
ocean	ابحار بِحار بُحور تری سمندر قُلزُم مُحیط یم بحر ساگر
vapour	ابخرا بپھارا بُخار بھاپ بھپارا تَف دُود دُھواں بخارات دھند
fume	ابخرا اُپھننا اَوٹنا بُخار چِڑچِڑانا بخار دھواں نکلنا
avaricious	ابخل بوالہوس پاپی حارِص حرِیص طمّاع کناّس مُہوّس ہوسناک لالچی بخیل حریص
covetous	ابخل حارِص حِرصاہا حرِیص حصیر طامِع نادیدہ ندیدہ ہوسناک لالچی لوبھی آز حریص تامع
eternity	ابدُالآباد ابدیّت ازل جاوِدانی خُلد خُلُود دائمیّت مُدامی ہمیشگی دوام ابد
eternally	ابداً جاوِدانہ دوام نِت مدام سدا
forever	ابداً تاابد ہمیشہ سدا
declaration	اِبدا اِظہار اِعلامیہ بچن بیان قضیّہ اعلان اقرار نامہ اظہار
pronouncement	اِبدا پُکار دعویٰ اعلان بلا تاخیر فوراً
change	اِبدال اُلٹوانسی اِنقلاب بدل برگشتہ بِکار پالا پرِنام پُھٹکر پِھرنا پھیر تبدُّل تبدیل تبدیلی تحریفات تصرُّف تغیُّر تغییر تقلُّب تقلیب چُھٹّا خبرداری ردوبدل عوارض گردی گشتہ مُبدّل مُتبدّل مُتغّیر متغیِّر مُتلوِّن مُستحیل مُغیّر مُقلِّب مُنقلِب نَیرنگی بدلنا فرا تکلیف مبدل تک شدہ تغیرات انقلاب رد و ریز گاری الٹا پلٹی چنچل تصرف
exchange	اِبدال اِستبدال بدل بدلا بدلنا بنَج پرورتن پھیرنا تبادُل تبادِلہ ساٹا عِوض عِوضانہ مُبادلہ مُبدّل مُعاوضہ مُغائرت ہُنڈاوَن ہیرپھیر ادل کرنا تبدیل بدلہ عوض فدا مبادلہ تبادلہ
substitution	اِبدال اِستبدال بدلی عِوض تبدیل استبدال استحلال بدل
body	ابدان اجرام اشباح اشکال افشاں اندام بدن بر بھوگ پِنڈ پِنڈا پَیکر جُثہّ جماعت جُون چولا خَیل دیہہ ڈِیل ذات سریر شخص شریر قالِب کاٹھی کایا مجلس نفس وُجُود رونگٹا انگ ڈیل دھڑ ہکل ادارہ جسامت جسم پیکر پنڈا قالب تمیز وجود
endless	ابدی اننت بے اندازہ حد
eternal	ابدی اجَر ازلی امَر اناد اننت آخر جاوِداں جاوِدانی جاوید دائمی سرمد سرمدی صمد قدیم لایزال لازوال مُخلّد مُدام مُدامی مُؤبّد نِت جاودان سر مدی
immortality	ابدیّت بقا خُلُود لافانیت
devotee	ابدھوت بَیراگی بھکت تاپس تپسّی جوگی چیلا دھندھار رِیاضتی زاہِد سَیلانی عابِد عِبادتی مُعتقد ناسِک عبد بھگت جان نثار پیر زاہد
hermit	ابدھوت اُداسی آزاد تاپس تیاگی جوگی خلوَتی راہِب رُہبان عائِل مُنزوی مَونی وَیراگی یوگی بن باسی گوشہ نشین راہب تارک الدنیا زاہد
yogi	ابدھوت جوگی یوگی یوگا کرنے والا
cloudy	ابردار ابری اندھا دُھواں ابر آلود دھندلا گدلا
etc	ابرا اُپی اُتارنا اُتاقا اِحیا اِدارت اِدرار ادق اَدما ادھن اُدھیڑنا اڈّا اِرتکاب اِرتکازی ارزارسال اڑاڑادھم اُڑانا اُڑسنا اُسانا است اِستجابت اِسترقا اِستنساخ اِسٹام اِشارہ اِشتعالہ اُشتُلُم اِشتہار اشکال اصل اُصول اِضعاف اِطلاق اعضا اِفادات افراشتہ افشاں اِقتصاد اِقتصادیات اکثریّتی اِکسیری اُکھانی اُکھلی اگایا اُگلنا اُگنا البیٹ الپٹی اِلحاق اِلحاقی الِف اللہ النگ املا اِنتخاب انترجات اِنتساب اِنتظامی اندھا اِنسجام اِنعقاد اِنفاذ انکنا اوکھلی اوّلین اُوں اوہ ایال آب آبِستان آٹھویں آرائش آڑی آنٹی آنچل آنکھ باج باچھ بادِر بارِج بانٹنا باندھنا باور بُت بٹن بٹوا بٹورنا بِٹھانا بجانا بُجنا بدذوق بدمذاق بدّھی بِرادری بری بڑکا بُڑم بُکرم بِلائی بلی بنامی بنانا بِنجن بندھن بندھنی بو بَوچھار بوغرا بَونگ بَہر بیلن بِیندھنا بھربھر بھرن بھرنا بِھلاواں بھُورا بھَیں پامال پایاب پاراپار پارچہ پاس پاسُخ پائے پایا پِپیانا پتھرچٹا پٹوا پٹھانی پٹھَورا پِچھات پُخت پخنی پرچُون پردہ پروانا پساوا پِسنہارا پِشکِل پکسالو پگار پلّا پلاسنا پنا پِنپناہٹ پنجیرا پنساری پِنہانا پور پہنچنا پہننا پَیدل پَیکان پَینا پِینا پَینتانہ پَینترا پیندی پَیوندی پھانسی پھانک پھانکنا پُھٹانا پِھٹنا پِھڈّا پھریرا پُھکنا پھل پھلڈا پھُلکاری پھنسائو پھیرا پھَیلنا پھینٹنا پھینک تابی تار تاگنا تانت تائو تجریدی داب تحریک تحکُّمانہ تدارُک تذکِرہ تصنیف تعجیلی تعطّل تفویض تقاطُع تقاوی تقریری تقطیع تہارنا تہذیب تھانگ ٹاپا ٹال ٹانکا ٹِکلی ٹنڈَیل ٹنک ٹنکی ٹُنگار ٹوپی ٹُونڈی ٹھوکنا ٹھیلنا ثَوران جاپ جاثِمہ جاری جامگی جانِب ججمان جِرم جڑا جڑاوٹ جڑوانا جگربند جُل جُلّاب جِلد جلیبی جم جماد جماعت جمانا جمائو جُناغ جُنُب جنتُو جوابی جُوارا جوت جُوڑا جوڑنا جَوشن جیب جیلی جھاڑ جھاڑنا جھڑجانا جھڑجھڑاٹ جھڑن جھڑنا جھکور جھلجھلانا جِھلّی جُھمرا جھن جُھوٹا جُھول جھونکنا چاٹ چاکی چال چبِینا چپٹا چٹّا چٹانا چٹخنی چٹکار چٹکاری چِچڑی چر چِراند چربہ چرّخچُوں چرکٹا چڑھا چڑھانا چُسچُسا چِک چکتّا چکتی چُگّا چِلّا چُلانا چُلبُلانا چلتا چلک چلنا چمکانا چندانہ چندوا چندی چُنوائی چِنھ چونالگانا چونڈا چُونگا چہکنا چِیزی چھاپنا چھان چھانٹنا چھپکا چھٹا چِھچھلتی چِھدانا چُھڑانا چِھلائی چھم چھوپ چھوپا چھوٹا حالِب حب حُبُوب حِدّت حصیر حُضُور حقیر حمام خالی خامنا خانہ ختن خراب خرّاط خزانہ خط خطا خفیفہ خلہ خلیج خُمرا خموش خواندگی داغنا دال دامن دانتا دانتی داہنا دایاں دبّا دُبُر دبگر دبِیا دُخان دخیل ددَوڑا دراز درانتی دُرُت دُرج درَجات درشنی دُرمٹ دڑُوکنا دستہ دعوت دفتری دُکھانا دُکھتا دُکھڑا دلق دلنا دلوائی دلویّا دلہارا دلَینتی دم دماں دمدمہ دنتیلا دندانہ دُوا دُوت دُوتائی دُوری دَونا دہانہ دُہنا دَیر دینا دھارنا دھانسنا دھانگڑ دھچکنا دھڑادھڑ دُھلوانا دھم دھنسنا دَھولا دَھونٹی ڈار ڈاک ڈُبونا ڈُرِیانا ڈس ڈلی ڈنڈی ڈُوبتا ڈُوبنا ڈھالنا ڈھانا ڈھلت ڈھلوانا ڈُھلوانا ڈھنڈار ڈھیرا ڈَھینا ذَوق رچانا رُخصتانہ رخنہ رد ردیف رُستنی رسم رسمسانا رسیدہ رشف رکاکت رلنا روگردانی رونمائی روا روانگی ریو ریوڑ زُبان زمین ساتِر سادہ سالن سبّل سِتارہ سٹاک سٹکانا سٹھورا سرورق سرّاٹا سِرانا سرسرانا سرمائی سُفتہ سکارنا سکرائی سکڑ سکنی سُلٹنا سلما سنّاٹا سنجھلا سِنچائی سندلاپھیرنا سوئےظن سوار سواری سوز سُوقیانہ سُونگھا سیج شاخ شاخہ شاستر شام شائِق شائِقین شپ شِدّت شرّاٹا شرزہ شرشر شریفانہ شُعبہ شفّاف شِکنجہ شل شوشہ صاحِبزادہ صاحِبزادی صادرکنندہ صاف صفحہ صلا صنیع طافِح طبع طبق طربیہ عُبور عصیر عکس علمکرنا غُروب غڑپ غَیر فالُودہ فُروش فسخ فشُردہ قارئین قاش قدم قصب قصف قُفلی قُلانچ قلب قَیطُون کاٹ کاٹنا کاردار کانا کُپّا کُپّی کِتاب کترواں کتروانا کٹیلا کُٹھالی کچّا کُچلنا کرّات کرارا کرخت کرنا کرنی کروٹ کسافت کسنا کمانی کُملانا کِنارہ کنگُورہ کنَوتی کُنّیت کَوکبہ کَوند کُونڈا کوہان کہلوانا کَیری کھارا کھاروا کھاس کھانا کِھچنا کُھدائی کُھدوانا کھرا کُھرا کھڑا کُھلا کِھلانا کھنڈ کُھنڈی کُھوٹنا کھوسنا کھولنا کھونڈا کھونڈی کھونسنا کھینچنا گاڑنا گپکنا گُپّھا گُٹکا گٹّھا گٹھّی گُچھّا گُدگُدا گِرانا گِراوٹ گِراؤ گِرہ گُری گُریز گڑھنا گُزارنا گشت گلہیّا گورُو گوشوارہ گُونگی گہنانا گھات گھر گھڑائی گھڑنا گھسیٹنا گھنگروالا گُھنگنی گھور گھونٹنا لاڈلا لاون لبدھڑا لچر لڑ لڑنا لڑی لڑیانا لُک لگا لگنا لُنڈا لنگھانا ماخُوذ مارنا مال مآثِر مبادیات مُتعارِض مُتلاطِم مُتمادی متن مِٹانا مِٹنا مٹھَور مُجاوِر مُجتہِد مخزن مدد مُعافی مغزیات منڈھنا مُنعقِد مُہُور نِرانا نقض نِکاس نِکلنا نِکھارنا نِگاری نمبر نمبری نِمکو نَول نَوم وردی وُصُول وغَیرہ ونت ہادِم ہانکنا
acquittal	اِبرا برات برِیّت پھرچھا تبرِیہ چُھٹان چُھٹیّ خلاص رِہائی موچن آزادگی
remission	اِبرا تخفیف تناقُص رِعایت شما مغفِرت گھٹاؤ کمی معافی
release	اِبرا اُبرانا اِستخلاص اِنفکاک بری برِیّت پھرچھا تخلیص چھانڈنا چُھٹا چُھٹکارا چُھٹیّ چُھڑانا چُھڑاوا چُھڑائی چُھوٹ چھوڑائو خلاص خلاصی رِہا رِہائی فک مخلصی مُکت موچن موکش واگُذار واگُذاشتہ یلہ چھوڑنا آزادی چھوٹ کھولنا رہا کرنا چھٹی
saint	ابرار اصفیا اَوتار اَولیا اولیااللہ بُزرگ بُزرگوار پِیر پِیران رِشی رِکھی سِدھ شَیخ صفی کامِل گُسائیں مُنی ولی پیر مغان
emphasis	اِبرام اِستہلال تاکید وزن زور
insistence	اِبرام اڑ اِصرار تقاضا اصرار زور
