english	urdu
absent minded	غائب الذہن غیر متوجہ گم سم
absent	اوجھل غائب
absinthe	ناگ دانہ
absolutely	بالکل محض مطلقانہ نرا قطعاً ضرور
absoluteness	کاملیت مطلقیت مطلق العنانی
absolute temperature	درجہ حرارت مطلقہ
absolute	بے نسبت بے قید کامل محض مطلق پورا یقینی
absolute zero	مطلق صفر
absolution	بری الذمہ غفران معافی نجات
absolutist	مطلق العنانی کا حامی
absolved	فارغ
absolve	آزاد کرنا بری کرنا فارغ کرنا معاف کرنا
absorbed	غرق گم جذب محو مجذوب
absorbent	جاذب
absorbing	دلچسپ پرکشش
absorb	چوسنا جذب کرنا کھینچنا پینا پیوست کرنا
absorption	حل ہضم جذب رچاوٹ تحلیل
abstain	باز آنا بچنا چھوڑنا پرہیز کرنا
abstemiously	محتاطی سے پارسائ سے
abstemious	محتاط پارسا پرہیز گار
abstention	اجتناب پرہیز
absterge	پونچھنا طہارت کرنا صاف کرنا
abstinence	اعتدال عفت پرہیز تقویٰ زہد
abstinent	معتدل پارسا زاہد
abstracted	مجمل
abstraction	تجرید
abstractly	مجرداً
abstract	باریک دقیق مجرد تجریدی مشکل اخذ کرنا الگ کرنا جدا کرنا
abstruse	دقیق
absurdity	بے ہودگی بے معنویت لایعنیت لغویت واہیات
absurd talk	بکواس پھکڑ
absurd	بے ہودہ بے معنی بے سر و پا غیر معقول لایعنی لغو مہمل اوجھا واہیات واہی تباہی
abundance	افراط برکت فراغت فراوانی کثرت ریل پیل وافر زیادتی
abundant	بہت سا ڈھیر فاضل فراواں کثیر مالا مال وافر
abuse	اذیت دینا بے عزت کرنا گالی دینا سخت سست کہنا سلواتیں سنانا آبروریزی بد عنوانی برا کام بری حرکت چوٹ دشنام گالی گالی گلوچ سلوات
abusive	بد لگام بد سلوک بد زبان درشت گو دشنام تراز کلے دراز زبان دراز
abut	ملحق کرنا
abysmally	اتھاہی گہری کھائ والا
abysmal	اتھاہ دوزخ کی طرح گہری کھائ
abyss	اتھاہ خلیج دوزخ گہری کھائ
acacia	ببول کیکر
academy	ادارہ مدرسہ ۃ العلوم
acajou	کاجو
accede	منظور کرنا قبول کرنا تسلیم کرنا
accelerate	چال بڑھانا رفتار تیز کرنا
acceleration	سرعت اسراع تیز رفتاری
accelerator	عاجل
accentuate	زور ڈالنا
accent	لب و لہجہ لہجہ سر تلفظ
acceptable	اچھا من بھاتا پسندیدہ قابل قبول
acceptance	مقبولیت پسند پزیرائ قبولیت تسلیم
acceptation	قبولیت
accepted	منظور مسلمہ قبول
accepting	پزیر
accept	ماننا پلے باندھنا پسند کرنا قبول کرنا رضا مند ہونا تسلیم کرنا
accessibility	قربت
accessories	لوازمہ
access	دخل دسترس گزارہ مداخلت پہنچ رسائ رسوخ
accidentally	اتفاقاً ناگہانی
accidental	عارضی ہنگامی اتفاقی وقتی
accident	آفت حادثہ اتفاق افتاد
acclaim	آفرین داد دینا اعتراف کرنا
acclamation	داد
acclerated	تیز تر
acclimatised	عادی خوگر
acclimitise	عادی بننا
acclivity	چڑھان فراز مطلع
accolade	بغل گیری
accommodate	ہم آہنگ ہونا حمایت کرنا موافق ہونا
accommodating	ہم آہنگ موافق
accommodation	گنجائش جگہ کمرہ کھپت مکان میل ملاپ مصالحت رہائش
accomodative	آشتی پزیر با نروت لحاظ دار
accompaniment	ساتھ ساتھی
accompanying	پیچھے پیچھے
accompanying with	ساتھ
accompany	پہنچانا رفاقت دینا سنگ ہو لینا ساتھ ہو لینا
accomplice	ہم گناہ جرم کا ساتھی
accomplished	ادا اہل انجام پزیر فاضل کامل ماہر مکمل سگھڑ تربیت یافتہ
accomplishment	اہلیت ہنر اتمام کار نامہ کمال مہارت
accomplish	انجام دینا مکمل کرنا پار اترنا پورا کرنا سر کرنا
accordance	اتفاق
according to	با موجب با مطابق
according	گوارہ مطابق ساز گار تحت
accord	آشتی اتفاق رائے اتحاد معاہدہ پیمان قبول سمجھوتہ
accost	خطاب کرنا خطاب
accountability	احتساب قابل مواخذہ
accountable	تابع احتساب ذمہ دار
accountancy	محاسبی منیمی پیشہ حساب داری
accountant	حساب دار محاسب منیم
account holder	کھاتے دار
accounting	فن حساب داری
account	حساب لینا بیان گنتی حیثیت حساب جوڑ کیفیت کھاتا خبر مرتبہ شمار
accourt	دعوت دینا میزبانی کرنا
accoutrement	ہتھیار سے لیس کرنا
accumulated	فراہم جمع شدہ
accumulate	ڈھیر لگانا جمع کرنا سمیٹنا
accumulation	ڈھیر
accuracy	بالکل درستی کھرا پن راستی سچائ صحیح ٹھیک ٹھیک
accurate	درست سچ صحیح معیار
accursed	ملعون
accusation	دعویٰ الزام نالش شکایت
accusatory	تہمتانہ
accused	مدعا الیہ مدعا الیہا ملزم
accuser	الزام تراش مدعی نالشی
accuse	الزام تراشی کرنا ملعون کرنا نام لگانا تہمت لگانا
accustomed	عادی خوگر ما نوس مروج روایتی
accustom	عادی ہونا خوگر ہونا
acerb	عیب چین کھٹا تلخ ترش
ace	احسن تاش کا اکّا ماہر ممتاز نمایاں یکا یکتا
ache	درد ہونا دکھنا چسکنا کسکنا درد دکھ ٹیس
achievable	کردنی قابل حصول قابل تکمیل
achievement	حصول کامیابی کار نامہ تکمیل
achieve	حاصل کرنا نباہنا پانا پورا کرنا تعمیل کرنا تیر مارنا
acidity	کھٹاس
acidly	ترشی سے
acid	تیز تیزابی تیزاب حمذ ترشہ
acknowledged	مانا ہوا تسلیم شدہ
acknowledgement	اقرار اعتراف قبول رسید
acknowledge	اقرار کرنا اعتراف کرنا ماننا قبول کرنا تسلیم کرنا
acloyte	کمک معاون
acme	بلند ترین مقام چوٹی راس عروج
acne	مہاسا
acquaintance	آگاہی آشنائ پہچان رسم اور راہ روشناس شناسائ واقف کار واقفیت
acquainted	آگاہ آشنا خبردار شناسا واقف
acquainted with	آشنا شناس متعارف
acquiescence	اقرار مرضی موافقت رضا رضا مندی
acquired	حاصل کردہ تحصیل شدہ
acquire	حاصل کرنا پانا پیدا کرنا قبضہ کرنا
acquiring	فائز جلب
acquisition	اندوختہ حصول وصول
acquittal	آزادگی
acrid	کڑوا تیز
acrimonious	کڑوا کرخت سوز ناک تلخ
acrimony	حدت تلخی تیز مزاجی تند خوئ
acrobatics	بازی گری کرتب
acrobat	بازی گر قلا باز نٹ
across	آر پار پار
act as	قائم مقامی
acting	اداکاری نقل قائم مقام سوانگ
action	عمل اثر فعل حرکت کاروائ
activate	متحرک کرنا
active	عامل چاق چست فعالی پھرتیلا تیز
activity	عملیت چال پیش قدمی پھرتی سرگرمی
act on	پر عمل تعمیل
actor	اداکار فعال
actress	اداکارہ
actuality	امر مسلم واقعیت
actually	اصلاً در حقیقت واقعتاً
actual	اصلی ہو بہو واقعی اصلی ہو بہو
acturary	محرر منشی
act	اداکاری کرنا عمل دکھاوا حرکت کھیلنا نقل کرنا عمل فعل کار
acuity	کاٹ تیزی
acumen	باریک بینی فراست جولانی سرعت ادراک تیز فہمی ذکاوت ذہن
acutely	شدت کے ساتھ تیزی کے ساتھ
acuteness	فراست ذکاوت
acute	بصیر حادہ نوکیلا شدید تیز
adage	کہاوت ضرب المثل
adamantly	ضد سے
adamant	اڑیل کڑا خود پسند ضدی
adaptable	مناسب قابل نباسبت ساز گر
adaptation	موافقت
adapt	موافق بنانا مناسب بنانا موافق ہونا
added	مزید
addendum	اضافہ ضمیمہ
adder	افعی
addicted	عادی خوگر
addiction	عادت دھت علت لت نشہ
addictive	لت آور نشہ آور
addict	عادتاً استعمال عادی
additional	اضافی مزید مستزاد ضمنی
addition	بیشی جوڑ اضافہ پیوند لگانا
addle	بنجر گدلا خالی
addressing	یاد فرمائ
address	خطاب پتہ تقریر خطاب کرنا
adduce	لانا تذکرہ کرنا ذکر لانا
add	بیشی کرنا اضافہ کرنا جوڑنا پیوند لگانا
à demi	آدھا
adept	ہنر مند کاری گر ماہر لائق پورا
adequacy	اکتفا موزونیت
adequate	کافی موزوں
adherence	گرویدگی استقامت پابندی پیروی استواری وابستگی
adherent	چسپاں ملحق پیوستہ وابستہ حامی رفیق طرفدار
adhere	چمٹنا چپکنا چپٹنا لاحق ہونا لگنا لگن لگاؤ رکھنا پابند رہنا وابستہ ہونا
adhering	پابند
adhesion	چپک
adhesiveness	چپچپاہٹ
adhesive	چیپ لیس لعاب چسپندہ لیس دار لعاب دار
ad hoc	اس خاص مقصد کے لئے وقتی
ad hominem	کسی کے لے ذاتی
adieu	خدا حافظ سپرد خدا
ad infinitum	ابدی دائمی ناانتہا
ad interim	وقتی طور پر
adjacency	اتصال نزدیکی قرب
adjacent	متصل پاس قریب قریب قریب
adjective	صفت
adjoining	برابر لاحق ملحقہ متصلہ
adjoin	اضافہ کرنا لگا دینا ملانا ملحقہ کرنا
adjournment	التوا وقفہ
adjourn	ملتوی کرنا
adjunct	لاحقہ
adjustment	فیصلہ
adjust	درست کرنا ہم آہنگ کرنا موافق بنانا
adjutant	معاون عسکری
adjuvant	مدد گار
ad lib	بلا پابندی برجستہ
administer	بند و بست کرنا انتظام کرنا
administration	عمل حکومت انتظامیہ نظامت نظام ضبط
administrative	عملی انتظامی
administrator	ناظم منتظم منسرم سربراہ
admirable	قابل ستائش قابل تعریف تحسین
admirably	عمدگی سے
admiralty	امارت البحریہ
admiral	امیر البحر
admiration	گرویدگی مدح ستائش تعجب تعریف
admirer	عاشق مداح ثناخواں
admire	تعجب کرنا تعریف کرنا
admissibility	جائزپن قبول پن
admissible	جائز حلال مباح قابل قبول روا
admission	بار یابی داخلہ گزر اقبال جرم اقرار مداخلت پہنچ رسائ تسلیم
admit defeat	ہتھیار ڈال دینا
admittedly	البتہ
admitted	داخل مسلم تسلیم
admitting	مقیر پزیر
admit	دخل کرنا اقرار کرنا فرض کرنا ماننا منظور کرنا
admonish	جتانا جھاڑنا کہنا ملامت کرنا سبق دینا سرزنش کرنا
admonition	عبرت نصیحت پند تادیب تنبیہ سرزنش
admonitory	عبرت انگیز
ad nauseum	مریضانہ حد تک
adobe	کچی اینٹ
adolescence	اٹھتی جوانی
adopted	لے پالک
adoption	اختیار انتخاب
adopt	اپنانا اختیار کرنا گود لینا لے پالک بنانا مستعار لینا
adorable	دلکش فرحت افزا قابل تعریف
adoration	عبودیت پرستش
adorer	پرستار
adore	تعظیم کرنا محبت کرنا
adorned	مزین مرصع زیبا
adorning	آرا زیب و زینت زیبا
adornment	آرائش بناؤ سنگھار سنگھار
adorn	آراستہ کرنا سجانا زینت دینا
adrift	الگ بے کس بے ٹھکانا بے سمت قاصر
adroit	چالاک چابک دست چست فہیم ماہر
adulate	چاپلوسی کرنا خوشامدی کرنا
adulatory	خوشامدنا
adulterated	ملاوٹی ناقص
adulterate	ملاوٹ کرنا
adulteration	آمیزش کھوٹ لوس ملاوٹ
adulterer	فاسق فاسقہ زانوی
adulteress	زانویہ
adulterous	حرام
adultery	فسق حرام ملاوٹ سیاہ کاری زنا آلودگی کھوٹ ملاوت
adult franchise	بالغ رائے دہی
adult	بالغ جوان پرشباب سیانا
advanced	قبل از وقت ترقی یافتہ
advance guard	ہراول دستہ پیش رو
advancement	بڑھاوا برتری پیش قدمی ترقی
advance	پیش داشت آگے بڑھنا آگے کرنا پیش قدمی پیشگی
advantageous	فائدہ مند مفید سود مند
advantage	فائدہ حصول جیت پہلو
adventitious	اجنبی غیر اتفاقی اضافی
advent	آمد ظہور
adversarial	دشمنانہ مخالفانہ رقیبانہ
adversary	عنادی دشمن حریف مد مقابل مخالف رقیب
adverse	آفت دشمنانہ کڑوا کسیلا مخالف ناموافق ناساز ناساز گار نقیذ
adversity	بپتا بد بختی فلاکت مصیبت نحوست نیستی شامت
advertised	مشتہر
advertisement	اعلان اشتہار
advertiser	مشتہر
advertise	آگاہ کرنا اطلاع دینا مشتہر کرنا
advertising	اشتہار بازی کاروبار اشتہار
advert	دھیان لحاظ
advice	فکر ہدایت انتباہ کہا سنا مشورہ نصیحت پیغام پند پنچایت رائے صلاح تدبیر
advisabile	موزوں موافق
advisability	موزونیت موافقیت
advisedly	دانستہ سمجھ بوجھ کر
advise	غور کرنا کہنا مشورہ دینا سکھانا مشورہ لینا صلاح کرنئ
advisor	مشاور مشیر ناصح پنچ صلاح کار
advisory	مشاورتی
advocacy	حمایت پیر کاری وکالت
advocate	وکیل حمایت کرنا تائید کرنا
aegis	پناہ سرپرستی
aerate	ہوا بھرنا
aerial	ہوائ فضائ
aerie	مرتفع
aeronautics	ترانیات علم طیارہ سازی
aeronaut	ہوا نورد طیارچی
aesthetics	ہنر ہائے زیبا فنون لطیفہ کا نظریہ جمالیات زیبائ شناسی
afar	بہت پرے دور
a few	چند
affability	شائستگی
affable	خلیق متحمل سلیم
affair	بات بیوپار حال جھڑپ کام کاج کاروبار ماجرا معاملہ واردات
affectation	بناوٹ ڈھکوسلا نخرہ نمود نمائش پریت تصنوع الفت
affectedly	ظاہر دارانہ
affected	مائل متاثر راغب ریا کار
affectionateness	دلدادگی
affectionate	مشفق نرم دل پریمی رحمدل شفیق
affection	عقیدت عشق چاہ چاہت کیفیت لاگ لگاوٹ لگن محبت پریت رجحان شفقت الفت انس
affect	اثر ڈالنا بناوٹ جذبہ لگنا تاثر تصنوع
affidavit	زبان بندی
affiliate	الحاق کرنا ملحق ہو لینا
affiliation	الحاق شرکت میل
affinity	علاقہ لاگ ناطہ نسبت قربت ربط رغبت
affirmation	اقرار تصدیق توثیق
affirmative	اثباتی حامی ایجابی مثبت
affirm	اعلان کرنا دعویٰ کرنا
affixed	چسپاں
affix	باندھنا ملانا نتھی کرنا اضافہ لاحقہ ضمیمہ
afflicted	فگار غم دیدہ حزین ماؤف رنجیدہ سوگوار
affliction	آفت الم درد حزن کسر خرابی مصیبت رنج صدمہ ضرر
afflict	آفت توڑنا اذیت دینا دکھ دینا مصیبت دینا پیسنا
affluence	بہتات دولت مندی فراغت فراوانی کثرت ثروت
affluent	رواں بہتا ہوا
afford	دینا ماننا مقدور قابل برداشت ہونا
affray	ہنگامہ لڑائ
affront	آمنا سامنا ہونا گستاخی کرنا ہتک کرنا توہین کرنا بے عزت گستاخی ہتک سبکی توہین ذلت
Afghan Rifle	جذیل
aficionado	عقیدت مند جوشیلا پرجوش پجاری
afire	آتش گرفتہ جلتا ہوا سوزاں
aflame	دہکتا دمکتا درخشاں شعلہ زن
afloat	بے ٹھکانا تیرتا سیلاب زدہ
afoot	چلتا پیدل
aforementioned	مذکورہ بالا
aforesaid	سبقہ
afraid	ڈرا ہوا ہراساں خائف خوفزدہ متذبذب
afresh	از سر نو پھر سے
African	افریقی
afront	بل مقابل سامنے
after effect	اثر ما بعد
afterglow	پس تاب شفق
afterlife	حیات ما بد حیات بعد الموت
aftermath	ما حاصل نتیجہ
afternoon	دو پہر
afterwards	آیندہ بعد میں پیچھے پھر
after	عقب میں بعد میں پیچھے پچھلا بعد از وقت پس پیچھے
again and again	باربار
against	برعکس برخلاف خلاف مقابل
again	آیندہ باز دو بارہ جوابن مزید مکرر پھر واپس
agate	عقیق
aged	بزرگ کہن سال پیر معمر عمر رسیدہ
ageless	عمر رسیدگی سے مبرہ
agency	آڑہت عملیت وسیلہ ذریعہ
agenda	پیش نامہ یاد داشت
agent provocateur	فتنہ انگیز جاسوس
agent	عامل فاعل کا رندہ کار پرداز مختار نمائندہ پیش کار واسطہ وکیل
age	ضعیف ہونا عہد عرصہ عصر عمر دور سن زمانہ
agglomerate	ہم بستہ
agglomeration	ڈھیر
agglutinant	چپکائ
agglutination	چپک
agglutinative	چپکنے والا
aggrandisement	تعظیم
aggrandise	بڑھانا پھیلانا مبالغہ کرنا
aggravate	بد تر کرنا غصہ دلنا کم تر کرنا شدید تر کرنا
aggregate	اکٹھا کرنا جمع کرنا کل مجموعی
aggregation	بھیڑ مجمع
aggression	عداوت حملہ جارحیت پیش قدمی
aggressively	جارحیت سے
aggressive	آمادہ جارحیت جار حانہ
aggressor	حملہ آور جارح
aggrieved	غمزدہ جبر دیدہ متاسف رنجیدہ رنجور
aggrieve	آزردہ ہونا رنج کرنا ستانا
aghast	بھونچکا دہشت زدہ دم بخود ہیبت زدہ حیرت زدہ ہکا بکا وحشت زدہ
agile	عاجل چالاک چست پھرتیلا سبک
agility	چستی پھرتیلا پن پھرتی تیزی
agitated	بے تاب
agitate	ہلچل کرنا ہلانا اشتعال بازی کرنا
agitation	اشتعال کھلبلی مظاہرہ پیچ و تاب
agitator	ہلورنی متھانی شورشی
agnosticism	مادہ پرستی
agnostic	لاادری
agog	بے قرار مشتاق
agonic	بے انحراف
agonised	دکھ بھرا
agonising	اذیت خیز شدید درد ناک
agony	عذاب اذیت جان کنی کرب
a good many	بہت سے کل
agora	بازار چوک
ago	گذشتہ سابقاً
agreeable	گوارا مرغوب راس شاداب
agreed	منظور راضی متفقہ
agreeing	متفق قائل رضا مند ساز گار
agreements	مراسم
agreement	عہد ایکا ہم آہنگی اقرار نامہ ہامی اتفاق اتحاد میل میل جول ملاپ معاہدہ مفاہمت مطابقت پیمان قرینہ قول رضا مندی راضی نامہ سمجھوتہ شرط وفاق وعدہ
agree	اتفاق کرنا ماننا متفق ہونا راضی ہونا
agricultural	زرعاتی زرعی
agriculture	باڑی کاشت کاری کھیتی باڑی زراعت
agriculturist	اسامی کاشت کار
ague	کپ کپی والا بخار ملیریا بخار
a hard nut to crack	سخت مشکل مسئلہ
aha!	آہا اچھا اخاہ
ahead	آگے اگلا پہلے پیش پیش سامنے
ah!	آہ ہائے افسوس اف
aide	ماتحت نائب
aid	دست گیری کرنا مدد کرنا چارہ دست گیری اعانت امداد کمک مدد سہارا
aigrette	سر پیش
ailing	علیل بیمار دکھی ماندہ روگی
ailment	آزار علالت علت مرض شکایت
ail	بیمار ہونا دکھی ہونا تکلیف میں ہونا
aimless	بے مقصد بے تکا اٹکل پچو
aim	نشانہ لگانا قصد کرنا ارادہ غرض ہدف مائل مقصد مطلب مدعا نشانہ نیت قصد سیدھ تاک
airborne	باد برداشتہ
air duct	باد گیر
air fleet	فضائ بیڑا
air force	فضائہ
airing	چہل قدمی ہوا خوری
airless	بے ہوا
airliner	مسافر بردار طیارہ
airmail	ہوائ ڈاک
airport	ہوائ اڈہ
air shaft	باد کش ہوا دان
airspace	ہوائ فضا
air strike	فضائ حملہ ہوائ حملہ
airs	اکڑ چونچلا دماغ لوہ نخرہ ناز
air	ہوا دینا باد ہوا لے پون ہوائ
airy	ہوائ ہوا دار
aisle	بغلی راستہ قطاروں کے درمیان راستہ
ajar	ادھ کھلا نیم وا
akin	قریب ملتا جلتا
alack!	حیف
alacrity	آمادگی چالاکی پھرتی
alarmingly	ڈرانے والے انداز سے
alarming	بھیانک ڈراؤنا ہوش ربا خوفناک
alarm	ڈرانا گجر بجانا دغدغہ دھڑکا گجر گڑ بڑ انتباہ خدشہ سہم
alas!	افسوس ہائے ہائے حیف وائے
albeit	اگرچہ باوجود یکہ گو کہ
albumen	سفیدی ذلال
album	بیاض مرقع
alchemy	کیمیا
alcohol	آتش گیر دار شراب
alertness	بے داری چوکننا پن چوکسی چستی پھرتی
alert	ہوش مند چوکننا کرنا تنبیہ کرنا آمادہ بے دار چاق چوکس چوکننا چست ہوشیار تیار تنبیہ
ale wife	کلالن
alfalfa	برسیم فسفسہ
alias	عرف
alibi	بہانہ عذر عدم موجودگی
alienation	دوری غربت کٹی
alien	اجنبی بدیسی غیر پردیسی غیر بے گانہ
alighted	وارد
alighting	عائد نازل
alight	جا اترنا نیچے آنا نیچے اترنا
alike	عدیل برابر ایک جیسا
aliment	غذا غذائیت
alimony	نان نفقہ نفقہ
a little	ذرا سا کچھ قدر قلیل تھوڑا سا ذرا سا
alive	جیتا جاگتا زندہ
all at once	ایک دم
allay	بجھانا دور کرنا کمی کرنا ٹھنڈا کرنا
all by oneself	خود بخود
allegation	بیان الزام تکرار
alleged	مبینہ
allege	عائد کرنا
allegiance	تابعداری
allegorical	مجازی
allegory	مجاز رمز
alleviation	آرام تسکین
alley	گلی کوچہ
all for nothing	خوامخواہ
alliance	عقیدت اتحاد معاہدہ ناطہ رشتہ
allied	متحد
alligator	گھڑیال نہنگ
allitration	جگت
allocate	مقرر کرنا تجویز کرنا ٹھیرانا
all of a sudden	اچانک اتفاقاً
allotment	بانٹ بٹوارہ تخصیص
allot	دینا معین کرنا
all over again	از سر نو
allowable	جائز مباح روا اجازت دینا مان لینا
allowance	گزارہ ازن مشاہرہ راتب
allow	عطا کرنا اجازت دینا قبول کرنا ماننا
alloyed	جھوٹا کچا
alloy	بھرت کھوٹ لوس
all right	اچھا ٹھیک
allspice	کباب چینی
allurement	جاذبیت کشش لالچ
allure	چاٹ دینا لالچ دلانا لبھانا
alluring	دلچسپ دل فریب دلکش دل ربا جاذب
allusion	اشارہ حوالہ تلمیح
alluvium	کیچڑ اور مٹی کی تہہ
all	ہمہ ہر کل پورا سب سارا تمام
ally	حلیف بنانا معاہدہ کرنا حلیف رفیق ظہیر
almanac	جنتری روز نامچہ تقویم
almond	بادام
almoner	خیرات صدقہ
almost	قریب قریب قریب تقریباً
alms	بخشش بھیک لنگر صدقہ
aloft	فراز
alone	اکیلا فقط محض مجرد تنہا
alongside	پہلو کے ساتھ ساتھ
along	ساتھ ساتھ
alongwith	ساتھ
aloofness	تخلیہ
aloof	علیحدہ الگ
a lot	بہت سا کافی خاصہ
already	پہلے
also	بھی ہم
altar	مذبح قربان گاہ
alterable	قابل تبدیلی قابل تغیر
alteration	چخ کانٹ چھانٹ رد و بدل تبدیلی تغیر
altercation	چپقلش حجت جھک جھک کہنا سننا مجادلہ
altered	مبدل تبدیل شدہ
alternate angle	زاویہ متبادلہ
alter	بدلنا پلٹنا تبدیلی کرنا
although	اگرچہ البتہ حالانکہ پھر
altitude	فوق ارتفاع اونچائ اٹھان
altruism	دوسروں کے لیئے زندگی گزارنا
altruist	اوروں کے لیئے جینے والا
alum	پھٹکری
always	ابداً دائماً ہمہ وقت ہمیشہ ہرگز مدام نت رات دن روز روز سدا
amalgamation	انظمام
amalgam	ملغم
amassed	فراہم اکٹھا جمع
amass	فراہم کرنا اکٹھا کرنا جمع کرنا
amateurish	غیر استادانہ کچا
amateur	کچا نوآموز
amature	پرستار شوقین
amazed	حیران متحیر سرا سیمہ
amazement	عجب حیرانی حیرت تعجب
amaze	حیران کرنا
amazing	عجب
ambassador	ایلچی سفیر
ambiguity	التباس
ambiguous	گول مول مبہم
ambition	آرزو ہوس حرص امنگ
ambitious	بلند نظر جاہ طلب خواہش مند
ambit	گھیرا حلقہ حدود پہلاؤ
ambrosia	عنبریا
ambush	گھات
ameliorate	بہتر بنانا بہتر کرنا بہتر ہونا
amelioration	بہتری
amending	تصرف
amendment	درستی کانٹ چھانٹ تبدیلی
amend	تبدیل کرنا
amenity	سہولت
amiable	خوب
amicable	دوستانہ
amidst	بیچ میں دوران میں
amigo	دوست یار
amity	بھائ چارا دوستی میل
ammonia	نوشادر
ammunition	اسلحہ گولا بارود
amnesia	نسیان ضعف حافظہ
amnesty	عام معافی در گزر
amok	قاتلانہ دیوانگی
among	ادھر ادھر جب کہ بیچ درمیان فی میں
amorality	غیر اخلاقیت
amoral	غیر اخلاقی
amorous	عاشق عاشق مزاج
amount	قدر رقم
amour	آشنائ عشق محبت پیار
amphibian	جل تھلیا
ample	بہت سا فراواں کافی کثیر نہایت وافر وسیع
amplification	توسیع
amplify	بڑھانا توسیع کرنا
amply	بکثرت بھر پور فراوانی سے
ampoule	بند نلی بند نلکی
ampulla	کپی پھکنا
amputate	کاٹ دینا قلم کر دینا
amputation	جسم سے کٹائ
amputee	انگ کٹا مقطوع
amulet	گنڈا تعویذ ٹونا ٹوٹکا
amusement	دل لگی فرح فرحت سیر شغل تماشہ
amuse oneself	جی بہلانا
amuse	دھیان بٹانا کھلانا خوش کرنا پھسلانا کھیلنا
am	ہوں
anachronism	غلط وقتیت
anaemia	خون کی کمی سوکھے کی بیماری
analogous	مثل تمثیلی
analogy	مثال مماثلت مشابہت
analysis	تحلیل تجزیہ
analytic	تحلیلی
