اتھاہ	bottomless unfathomable deep
اٹّا	heap pile attic balcony
اٹاری	terrace attic balcony
اٹال	heap mass pile
اٹالا	good commodity furniture provision chattel
اٹانا	pollute contaminate
اُٹپٹانگ	wretched absurd disorderly
اٹک	restraint obstruction entanglement obstacle
اٹکا	obstruct dangle hinder stop
اٹکانا	obstruct restrain impede
اٹکائو	hindrance stop restraint
اُٹکّرلَیس	absurd
اٹکل	conjecture guess
اٹکلنا	guess
اٹکن	link clasp
اٹکنا	stop
اٹکھیل	merry lively coquettish frivolous playful sportive
اٹکھیلی	gambol playfulness coquetry
اٹل	immovable firm stationary steadfast determine fix permanent unshakeable resolute
اٹم	heap pile
اُٹنگا	unsymmetrical
اٹُوٹ	indestructible inseparable unbreakable constant continuous
اٹّی	plait sheaf
اٹیرن	reel bobbin
اٹیرنا	reel
اٹیک	unsupported
اٹھ	eight
اُٹھا	rise
اٹھادینا	banish awake eject
اٹھالینا	carry
اُٹّھا	raise
اٹّھارہ	eighteen
اٹّھارھواں	eighteenth
اٹّھاسی	eighty
اٹّھاسیواں	eighty
اُٹھان	rise begin ascension puberty development growth adolescence start ascent
اُٹھانا	raise erect kidnap hoist remove steal carry bear awaken
اٹّھانوے	ninety
اٹّھانویواں	ninety
اٹّھاون	fifty
اٹّھاونواں	fifty
اُٹھائو	raise lift
اٹّھائیس	twenty
اٹّھائیسواں	twenty
اُٹھتا	ascend flourish bloom rise bud
اٹھتّر	seventy
اٹھتّرواں	seventy
اِٹھلانا	behave strut
اُٹھلُّو	wanderer
اُٹھنا	rise leave recover inflame depart awake swell
اثاثہ	good effect wealth property
اِثارت	anger fury rage
اثبات	dependable
اِثبات	confirmation recognition establish verification affirmation
اِثخان	bloodshe
اثر	effect influence consequence
اثرورسوخ	influence
اِثغار	teethe
اِثلاث	trisection
اِثم	sin
اثمار	fruit
اثمان	price
اثنا	time midst period during
اثیر	high ether choose
اثیم	sinner
اِجابت	grant approval acceptance compliance answer stool consent
اجات	casteless outcast
اِجارہ	lease rent
اُجاڑ	demolish spoil depopulate ruin desolate desert wasteland devastation wilderness
اُجاڑنا	destroy ruin
اُجاڑُو	spoiler spendthrift waster
اِجازت	leave sanction permission liberty licence
اُجاغ	stove fireplace
اُجاگر	manifest prominent bright evident
اُجالا	sunshine light daybreak dawn daylight
اُجالنا	brighten cleanse buff polish
اُجالی	light illuminated bright brightness
اجان	inexperienced innocent naive unknowingly ignorant
اجانِب	alien stranger
اِجبار	constraint force compulsion
اجِت	invincible unsubdue unconquerable unsurpassed
اِجتبا	selection choice like
اِجتماع	conjunction meet assemblage
اِجتماعی	collective congregational
اِجتماعیّت	collectivity
اِجتناب	avoidance shun abstinence refrain
اِجتہاد	innovation exertion
اجداد	forefather ancestor
اُجڈ	ill awkward ignorant vulgar inconsiderate unrefined
اجَر	imperishable immortal eternal
اجر	fee hire fare pay reward remuneration compensation
اِجرا	grant execution circulation flow issuance issue
اجرام	body
اُجرت	fee fare reward remuneration wage
اُجرتی	wag
اُجّڑ	desolate derelict uninhabited
اُجڑا	desolate desert ruin
اُجڑنا	desert plunder
اجزا	element part constituent division ingredient portion section
اِجزال	increase boost growth
اجساد	substance
اجگر	unwieldy bulky boa
اجل	fate death destiny exalted
اُجلا	pure luminous clean shin radiant splendid white
اجلاپن	clearness radiance lustre whiteness
اُجلاخرچ	prosperity affluence
اجلاف	vile base
اِجلال	magnificence exaltation honour glory
اُجلانا	brighten cleanse polish
اِجلواز	rapidity swiftness
اجلیٰ	bright
اجم	forest
اِجماع	consensus assembly meet council
اِجمال	abstract brief summary abridgement synopsis
اِجمالاً	summarily concisely briefly
اِجمالی	succinct abridged brief
اجناس	good sort specie grain kind
اجنبی	foreigner unfamiliar unknown strange alien foreign stranger new
اجنبیّت	estrangement unfamiliarity
اجِنّہ	embryo genius foetus
اجواف	hollow hole cavity
اجوِبہ	answer reply
اجوت	unlit dull dim dark uncultivated untilled
اُجُورہ	remuneration fare reward rent
اجوَف	concave hollow vacant
اجوگ	single unpaired
اِجہاز	abortion
اجہل	blockhead
اجیال	contemporary
اُجیالا	light
اجیت	invincible unsubdue unbeaten unsurpassed
اجیٹن	adjutant
اجیجی	bangladesh
اجیَد	good
اجیر	wage servant employee
اجیرن	indigestible difficult troublesome indigestion
اُجّھڑ	quarrel querulous quarrelsome
اُجھکنا	tiptoe
اُچاپت	quarrel discord brawl
اُچاٹ	dejected sad bored depressed dissatisfied disturb
اُچاٹی	ennui boredom
اچار	pickle achar
اچارج	teacher mentor
اُچارن	pronunciation accent intonation articulation
اچاری	pundit teacher
اُچان	height elevation
اُچانا	raise elevate
اچانک	unexpectedly suddenly incidental
اُچانک	caper frolic gambol
اچپل	restless vivacious frisky sprightly playful uneasy
اچپلاہٹ	playfulness restlessness
اچُت	silly idiotic stupid foolish
اُچِت	proper suitable fit right befit
اُچٹتا	light careless cursory bored
اچرج	uncommon surprise strange miracle
اُچک	height elevation jump
اُچکّا	pickpocket knave
اچکاپن	thievery pilfer knavery fraud
اچکن	achkan
اُچکنا	snatch grab
اچَل	immovable firm steady fix resolute
اُچلنا	separate
اچنبھا	marvel amazement surprise astonishment
اُچنگ	naughtiness
اچُوک	unfailing infallible accurate sure unerre certain
اچیت	insensible heedless senseless
اچّھا	pure healthy finely correct skilful noble nice well grant nicely benevolent sound yes please pleasant excellent genuine righteous good ok kind lovely wholesome
اِچّھا	desire inclination intention aim wish ambition
اُچھال	up nausea jump buoyancy
اُچھالنا	scatter promote
اچّھائی	righteousness goodness
اچّھر	word syllable letter
اُچھلنا	rise leap gush bind rejoice spurt
اچھوانا	clean
اچھوبھ	still stationary
اچُھوت	untouchable
اچُھوتا	rare clean novel new unique
اچُھوتی	nun
اچھّی	good correct darling
اِچھیا	desire wish
احاد	one unit
احادیث	tradition
اِحاطت	enclose encirclement
اِحاطہ	surround enclosure boundary precinct premise
احب	friend
اَحباب	friend
احبار	rabbis
احبال	vein string thread cord
اِحتباس	suffocation repression
اِحتجاب	veil screen purdah occultation
اِحتجاج	protest objection outcry
اِحتجاجاً	protestingly
اِحتجاجی	protestor agitator
اِحتداد	intensity
اِحتراز	avoidance abstinence
اِحتراق	burn combustion vehemence
اِحترام	veneration respect deference
اِحتساب	compute prohibition reckon accountability
اِحتساس	feel realization
اِحتشام	pomp magnificence grandeur
اِحتصار	obsession
اِحتظاظ	relish
اِحتفال	meet congregation
اِحتقار	contempt scorn despisement
اِحتقان	enema
اِحتکاک	abrasion friction rub
اِحتکاکی	frictional
اِحتمال	doubt probability likelihood apprehension uncertainty
اِحتمالی	uncertain probable conjectural likely hypothetical doubtful
اِحتمام	phlebotomy
اِحتوا	encirclement
اِحتیاج	want exigency necessity need
اِحتیاط	caution precaution care circumspection
اِحتیاطاً	circumspectly
اِحتیاطی	preventive precautionary
اِحتیال	craft deception cleverness
احثابحثی	altercation
احجار	stone
احد	individual unique one
احدی	sluggish lazy idle
احدِیّت	unity individuality
اِحراز	collect
اِحراق	burn heat
اِحرام	ihram
احزاب	group party
احزان	sorrow affliction
اِحساس	feel sensibility perception
اِحساسیت	empiricism
اِحسان	favour kindness beneficence virtue
احسن	good excellent preferable
احشا	heart lung liver
احشام	follower
اِحصا	comprehension describe count narrate enumerate calculus
اِحضار	appearance summon attendance
اِحظاظ	pleasure indulgence gratification
احفاد	grandchild
اِحفاظ	security protection
احقاب	aeon age
احقر	low i
اِحکاک	friction
احکام	command order injunction ordinance decree
اِحکام	column strengthen pillar
احلام	dream
احلم	mild forbear patient
احمال	cargo load
احمر	red
احمق	foolish idiot simpleton blockhead dunce stupid fool
احمقانہ	idiotic foolish
احنف	club
احوال	state condition circumstance event incident affair
احوج	poorer inevitable
احوَل	squint
احیا	family clan tribe
اِحیا	revival etc revitalization resurrection vivification
احیان	moment time
احیاناً	occasionally unmindfully sometimes
اخ	brother gurgle cousin
اخّاذ	imbibe intelligent absorb
اخّاہ	aha
اِخبات	modesty meekness humility
اخبار	event newspaper tradition news gazette
اخبارباِلغیب	divination
اخپخ	intelligence wisdom understand
اُخت	sister
اِختبار	test evaluation experiment analysis
اِختباری	experimental analytic
اِختباریت	empiricism experimentalism
اِختباط	insanity craze mania paranoia
اِختباطی	maniac paranoiac
اِختتام	end finish accomplishment termination completion close
اِختتامی	last conclude
اِختتامیہ	finale
اختر	star
اخترشماری	restlessness
اِختراع	invention artifice innovation contrivance concoction lie fabrication creation
اِختراعی	innovative
اِختزال	shorthand
اِختصار	abbreviation summary abridgement synopsis precis brevity
اِختصاریہ	resume precis summary
اِختصاص	specialization characteristic peculiarity
اِختصاصی	specialistic specialized
اِختفا	concealment
اِختلاج	palpitation restlessness
اِختلاط	mixture intimacy friendship amalgamation amity
اِختلاف	difference disagreement discord dissension antagonism opposition contradiction
اِختلافی	controversial dispute dissent discordant
اِختلاق	slander mendacity
اِختلال	obstruction disorder confusion aberrance deficiency
اِختمار	fermentation
اِختناق	suffocation asphyxiation
اختہ	castrate
اِختیار	choice power election will jurisdiction control option authority autonomy
اِختیاری	optional
اخذ	take deduction extraction derivation
اخراج	expenditure expense
اِخراج	outflow extradition deportation dislodgement evacuation expulsion discharge eviction
اخراجات	expense
اخرب	crop
اخرف	senile
اخروٹ	walnut
اخص	choice
اخضر	green
اِخفا	hide concealment
اِخفات	secrecy
اخگر	ember
اِخلاص	intimacy love loyalty candour sincerity tenderness
اخلاط	phlegm choler melancholy
اخلاف	heir offspring grandchild descendant
اخلاق	ethic manner etiquette courtesy moral disposition politeness
اخلاقیات	morality ethic
اِخلال	hindrance obstruction
اخلق	old
اخمار	wine
اخو	brother
اخوات	sister homogenous
اِخوان	brother relative friend
اُخُوّت	brotherhood
اخُوند	master mentor leader teacher ruler tutor
اخی	brother friend
اخیر	consequently end lastly finale last final
ادا	posture payment coquettishness responsibility style
اداکنندہ	payer
ادات	instrument tool article apparatus alphabet implement letter
اُدار	generous charitable generosity gentle noble gentleness bountiful
اِدارت	compilation etc
اِدارہ	institution
اِداریہ	editorial
اُداس	melancholic dejected sombre grieve sad depressed sorrowful
اُداسا	sad sorrowful
اُداسی	sadhu melancholy hermit sadness sorrowfulness fakir cheerlessness
اداکار	actor
اداکارہ	actress
اداکاری	pretence
اداَنت	always
ادانی	mean
اُداہٹ	purpleness
ادائیگی	fulfilment payment
ادب	literature civility reverence etiquette regard respect decorum
اُدبا	litterateurs
اِدبار	ill poverty dissoluteness pennilessness deprivation defeat decadence
ادبُد	wondrous strange
ادبدا	deliberately certainly mischievously positively
ادبیّات	literature
ادبیتّ	literariness
اِدخال	insertion entry
ادخنہ	smoke
اِدراج	interpolation
اِدرار	flux etc flow
اِدراک	sagacity consciousness comprehension cognition wisdom understand perception
ادرک	ginger
ادرکی	gingery
اِدّعا	pretension request claim
ادعیہ	prayer benediction
اِدغام	assimilation amalgamation merger gemination integration
ادق	complicated etc
ادقچہ	wrapper coverlet cover
ادکچرا	half
اَدل	prominent evident
ادلا	calf
اِدلال	argue debate logic pride advice supervision coquetry reasoning guidance
ادِلّہ	reasoning argument
اُدم	labour effort
اَدما	etc skin
اُدمات	arrogance lunacy mania eroticism libido
اُدماتا	licentious arrogant
ادمغہ	brain intellect
ادنیٰ	near mean close commoner ignoble bit commonalty contemptible inferior lowly trivial small petty little
ادوات	instrument tool weapon apparatus
ادوار	age period
ادویات	drug medicine
ادویاتی	medicinal
ادوَیت	unique peerless
ادوِیہ	drug medicine
اُدے	appearance east
ادیان	creed religion
ادیب	author writer
ادیم	surface expanse
ادھ	half
اُدھار	loan debt credit
ادھارمِک	wicked unjust unrighteous
اُدھارُو	prepare ready
ادھر	distinct pendent hang lip unattached suspend midair separate helpless unsupported
اِدھر	near here now during close
اُدھر	far beyond there across away immediately instantly
ادھرم	wrong irreligious unfair ungodliness ungodly impiety immorality irreligion
اُدھڑا	tear unravel
اُدھڑنا	unravel
ادِھک	excessive much more additional
ادِھکار	entitlement privilege power virtuous saintly authority right righteous
ادِھکاری	authority ownership
اُدھلا	intoxicate lustful
ادھم	low mean contemptible inferior base insignificant
اُدھم	tumult disturbance fame uproar publicity
ادّھم	between
ادھن	etc
ادُھورا	half inexperienced crude incomplete unknowe inadequate insufficient unfinished
ادّھیا	seed
ادھیانا	bisect halve
ادھیراج	emperor
ادھیڑ	middle
اُدھیڑ	unfold unstitche unravel unweave
ادھیڑبُن	perplexity unease quandary indecisiveness uncertainty
اُدھیڑنا	etc
ادِھیکار	authority power
ادھین	slave servant subordinate
اڈّا	stand rendezvous adda etc
اڈِگ	immovable steady firm fix
اُڈّو	gadabout vagabond wanderer tramp
اڈیٹھ	tumour cancer
اِذعان	surety certainty submission obedience
اذفر	odorous
اذکار	tale story
اِذکار	instruction remind
اذکیا	intelligentsia
اِذلاق	slippage
اذلال	mean
اِذلال	humiliation disgrace
اِذن	leave permission order injunction
اُذن	ear
اِذنی	herald announcer
اذوقہ	food
اذہان	intellect wit mind
اذیّت	torment torture agony
اَر	if
ارّا	sawfish
ارابا	vehicle araba wagon
اِرادت	will belief faith respect intention devotion
اِرادتاً	deliberately intentionally wilfully purposely
اِرادہ	choice object will desire inclination intention option aim
اِرادی	deliberate wilful intentional
ارادھنا	adore worship
اراروٹ	arrowroot
اراضی	field plot estate
اراضیات	land
اراکین	member
ارامل	widow widower
ارانب	hare rabbit
اِرأت	direction guidance
ارائک	sofas
ارباب	lord possessor idol statue master supporter sustainer
اربع	four
اربعی	tetrahedron
اربعین	forty
اربند	lily lotus
ارپن	offer gift sacrifice
اِرتباط	affinity friendship familiarity connection
اِرتجاج	quiver tremor explosion
اِرتجاع	reaction retrogression
اِرتجاعی	retrogressive
اِرتجالاً	extempore ad impromptu
ارتجک	flash
اِرتحال	departure death demise
اِرتداد	apostasy return
اِرتسام	impression
اِرتشا	bribery corruption
اِرتشاح	dribble drip trickle
اِرتصاد	stare observation gaze
اِرتعاش	tremor shake quiver tremble vibration
اِرتعاشی	vibratory
اِرتفاع	elevation grandeur height eminence ascent altitude
اِرتفاق	conjunction
اِرتقا	evolution
اِرتقائی	evolutionary
اِرتکاب	etc offence
اِرتکاز	concentration
اِرتکازی	etc
اِرتکاس	inversion reversal
اِرتماس	immersion soak wet
اِرتہان	pledge
اِرتیاب	scepticism doubt
اِرتیابی	sceptic
اِرتیاح	happiness joy gladness
ارتھ	significance interpretation mean
اِرث	heritage inheritance succession
ارجاب	entrail
ارجح	preferable
ارجمند	worthy noble learn illustrious wise honourable
ارجمندی	nobility honour
اُرجُوحہ	see
اُرجھاسن	sewing weave
ارحا	mill
ارحام	womb mother
ارداش	request application petition flatter apple
اردب	pin
اِردگرد	around close
اردلی	procession
اُردو	troop army encampment
اردھ	semi half
اردھنگ	torso paraplegia
ارذل	base
ارز	reverence quantity respect cost honour value
ارزارسال	invoice etc good
اُرُز	rice
ارزاق	eatable food
ارزاں	low abundant cheap
ارزِش	worth value price
ارزن	millet
ارزیز	tin pewter
اِرسال	dispatch remittance send
ارسطو	sagacious learn wise aristotle
ارسلان	lion
اِرسی	axle
ارش	compensation blood fine
اِرشاد	order utterance say dictum command behest guidance ordinance
اِرشادات	saying command
اِرشاش	sprinkle spray
ارشد	well
ارشق	slim
ارشیا	auditor accountant
ارصاد	observatory
اِرصاد	stargazing
ارض	country land
اِرضاع	breastfeed
ارضہ	termite
ارضی	mundane temporal terrestrial
ارضیات	geology
ارغواں	purple red
ارغوانی	crimson violet purple
اِرفاہ	comfort
ارفع	superior high
ارفق	friendly
ارق	sleeplessness insomnia
ارقام	number numeral figure
اِرقام	word narration
ارقان	jaundice
ارقم	bicoloure
ارک	swallowwort mudar castle citadel fort
ارکان	component member pillar noble ingredient chief column head essential
ارگجا	camphor sandalwood
اِرم	paradise
ارمان	desire wish longing yearn
ارمانی	hopeful desirous inclined aspire
ارمُغاں	present gift souvenir
ارمن	armenia
ارمنی	armenian
ارنب	rabbit hare
ارنڈ	castor
ارنہ	otherwise
اروا	nausea
ارواح	demon soul spirit
ارُوپ	unsightly ugly
اروگ	hale sound healthy well
اروگی	healthy
اروگیہ	soundness haleness
اروَلی	india
اروندھنا	strangle choke suffocate
اروی	taro
اروے	nausea
ارئی	goad
ارے	bewilderment surprise
اُریا	oriole
اریب	learn wise
اُریب	oblique crooked deception slant slop
اریکہ	throne
اڑ	stubbornness barricade stoppage insistence obduracy obstruction
اڑڈنڈا	bar barrier
اڑا	check difficult oppose entangle
اُڑا	fadde fly
اڑاڑادھم	etc
اڑاس	narrowness constriction
اُڑاک	fledged
اُڑان	gallop flight
اڑانا	support pillar ram wear
اُڑانا	destroy evade pilfer waste squander etc steal
اڑانی	umbrella
اُڑائوُ	spendthrift squanderer
اڑبنگا	bent impediment uneven obstacle quarrel obstruction rough
اڑپوپوں	argumentative rude presumptuous quarrelsome
اُڑتا	fly
اڑتالیس	forty
اڑتالیسواں	forty
اڑتلا	defence refuge shelter protection
اڑتیس	thirty
اڑتیسواں	thirty
اڑچن	hitch obstruction snag
اڑسٹھ	sixty
اڑسٹھواں	sixty
اُڑسنا	etc insert
اُڑلاگ	infectious
اُڑن	rag fly spread
اڑنا	oppose stop
اُڑنا	disappear evaporate explode vanish fly soar
اڑنگ	heap pile
اڑنگا	hindrance trip obstruction
اڑواڑ	support prop
اڑی	hardship predicament difficulty difficult entangle
اُڑی	fly
اڑیل	headstrong obstinate mulish unyielding
اُڑینچ	malice hostility enmity malevolence
اڑیوا	asset wealth capital
از	by than from
ازاں	therefore thence
ازبسکہ	extremely
ازخود	voluntarily
ازروئے	under
ازطرف	from
اِزار	pyjama trouser
اِزالہ	redressal abolition rectification removal
اُزبک	uzbek
اِزدحام	concourse throng crowd mob
اِزدِواج	nuptial wedding marriage matrimony
اِزدِواجی	conjugal matrimonial
اِزدِیاد	increase augmentation addition
ازر	shrubbery
ازرق	blue
ازعر	tailless bald
ازل	eternity
ازلی	perpetual eternal
ازلیت	eternality
ازمِنہ	time age period
ازواج	wife husband spouse
ازہار	bud flower
اِزہاق	extermination
ازیں	hence
اژدہا	python anaconda dragon
اِژدہام	crowd mob
اژدھات	zinc copper brass pewter silver
اِس	this
اُس	it that he
اساتذہ	master teacher
اِسارت	imprisonment captivity
اُساریٰ	inmate captive prisoner
اساس	foundation base
اُساس	respiration exhalation breathe sigh
اساسی	fundamental primary basic
اساطیر	writing mythology myth book
اساطیری	legendary mythical fabulous mythological
اساطِین	post pillar column
اسالیب	way mode style manner
اسامی	post client tenant employment cultivator name occupant situation appointment debtor
اُسانا	winnow etc corn sift
اسانید	deed certificate authority credential
اِساول	postman messenger letter courier
اِسائت	vice
اسباب	good motif thing reason article furniture resource luggage mean implement cause
اسباط	offspring grandchild
اسباق	lesson
اسبق	surpass old
اُسبوع	week
اِسپات	steel
اسپتال	hospital
اسپغول	ispaghul psyllium
اِسپنج	sponge
اِسپینی	spanish
اسَت	wrong imperceptible false spurious non
است	etc
اُستاد	tutor teacher ustad instructor
اُستادانہ	masterly
اِستادگی	firmness stay
اِستادہ	establish fix ready stand
اُستادی	acumen skill skilful artfulness masterly craftsmanship tactic cunne
اُستاذ	teacher
استار	hindrance curtain stoppage
اِستباح	usurpation loot
اِستبداد	despotism tyranny domination atrocity
اِستبدادیت	authoritarianism
اِستبدال	exchange barter substitution interchange
اِستبرا	lavation cleanliness
اِستبرق	satin
اِستبرقی	silken satiny
اِستبشار	herald
اِستبعاد	impossibility far
استُت	prayer hymn commendation invocation
اِستتابت	penitence
اِستتار	hide secrecy concealment
اِستِتباب	discipline
اِستِتباع	succession follow
اِستثنا	exclusion exception exemption
اِستثنائی	exceptional
اِستجابت	etc acceptance request application
اِستجلا	shin polish
اِستحاضہ	menorrhagia
اِستحالہ	impossibility metamorphosis improbability transformation
اِستحسان	approval consent
اِستحصال	exploitation acquisition gain
اِستحصالی	exploitative
اِستحضار	sincerity absorption
اِستحفاظ	care
اِستحقار	contempt disdain
اِستحقاق	title right due privilege
اِستحقاقی	preferential privileged
اِستحکاک	itch
اِستحکام	stability firmness strength
اِستخارہ	divination bibliomancy
اِستخبار	intelligence spy
اِستخراج	extraction expulsion deduction
اِستخراجی	deductive
اِستخفاف	contempt scorn disdain
اِستخلاص	liberation release liberty freedom discharge
اِستخلاف	heirship
اُستخواں	skeleton bone
اُستخوانی	durable strong
اِستداد	addiction
اِستدارت	roundness circularity circulation
اِستدام	perpetuity permanency
اِستدانت	borrow
اِستدبار	surrender
اِستدراج	conjure
اِستدراک	redress comprehension reparation understand
اِستدعا	solicitation supplication request desire petition appeal prayer
اِستدقاق	inspection fineness discernment scrutiny
اِستدلال	reason argument
استر	prim base arrow plaster mule coating lining
استرکاری	coating plaster
استردھاری	armed
اُسترا	barber dagger knife
اِستراحت	ease sleep repose rest
اِستراق	thievery steal theft
اِستربِستر	luggage bed
اِسترجاع	retrogression
اِسترخا	looseness weakness paresis slackness laziness
اِسترداد	rejection annulment reversal repeal revocation veto
اِسترضا	consent assent willingness
اِسترقا	talisman etc magic
اِسترقاق	enslavement captivity
اُسترہ	dagger knife razor
اِستری	female iron wife
اِستسقا	dropsy oedema
اِستشارہ	plebiscite consultation
اِستشفاع	intercession recommendation
اِستشہا	libido
اِستشہاد	proof evidence
اِستشہار	proclaim
اِستصلاح	correction
اِستصواب	reference counsel approbation commendation consultation
اِستطاعت	potentiality power ability
اِستطالت	prolongation
اِستطراد	diversion digression
اِستطلاق	diarrhoea
اِستعارتاً	figuratively metaphorically
اِستعارہ	metaphor borrow
اِستعانت	aid assistance help
